series_label,reporting_date,vintage_month,bucket,dq_rate
TAOT 1725585,2019-06-30,16,60+,0.001974289701036131
TAOT 1725585,2019-07-31,17,60+,0.002133853587160298
TAOT 1725585,2019-08-31,18,60+,0.0024679787566385504
TAOT 1725585,2019-09-30,19,60+,0.0023608010663754477
TAOT 1725585,2019-10-31,20,60+,0.002795317021836359
TAOT 1725585,2019-11-30,21,60+,0.002921472825265703
TAOT 1725585,2019-12-31,22,60+,0.0029584781038219407
TAOT 1725585,2020-01-31,23,60+,0.0028544243577545195
TAOT 1725585,2020-02-29,24,60+,0.002688899716672983
TAOT 1725585,2020-03-31,25,60+,0.0029494147544936837
TAOT 1725585,2020-04-30,26,60+,0.0034430938385740647
TAOT 1725585,2020-05-31,27,60+,0.0029252395162556936
TAOT 1725585,2020-06-30,28,60+,0.0020578227827468877
TAOT 1725585,2020-07-31,29,60+,0.0022003596741775096
TAOT 1725585,2020-08-31,30,60+,0.0025517499285070064
TAOT 1725585,2020-09-30,31,60+,0.002447840409956076
TAOT 1725585,2020-10-31,32,60+,0.00232502965599051
TAOT 1725585,2020-11-30,33,60+,0.0028775209050664044
TAOT 1725585,2020-12-31,34,60+,0.0030013082625759946
TAOT 1725585,2021-01-31,35,60+,0.0025442566753260667
TAOT 1725585,2021-02-28,36,60+,0.002647567025249429
TAOT 1725585,2021-03-31,37,60+,0.0015405581560703917
TAOT 1725585,2021-04-30,38,60+,0.0013786188745456825
TAOT 1725585,2021-05-31,39,60+,0.0021792966815255077
TAOT 1725585,2021-06-30,40,60+,0.0020955574182732607
TAOT 1725585,2021-07-31,41,60+,0.002321468052177758
TAOT 1725585,2021-08-31,42,60+,0.0028092079594225516
TAOT 1725585,2021-09-30,43,60+,0.0035925176528884667
TAOT 1725585,2021-10-31,44,60+,0.00479052347356502
TAOT 1725585,2021-11-30,45,60+,0.0040459470771520255
TAOT 1725585,2021-12-31,46,60+,0.004171692802573381
TAOT 1725585,2022-01-31,47,60+,0.005065200991486152
TAOT 1736712,2018-05-31,0,60+,0.0006647515491085207
TAOT 1736712,2018-06-30,1,60+,0.0010848470968286303
TAOT 1736712,2018-07-31,2,60+,0.001306480636970937
TAOT 1736712,2018-08-31,3,60+,0.001525754996532375
TAOT 1736712,2018-09-30,4,60+,0.0015841533151305961
TAOT 1736712,2018-10-31,5,60+,0.0014999802634175865
TAOT 1736712,2018-11-30,6,60+,0.0018082455999357068
TAOT 1736712,2018-12-31,7,60+,0.0020462451401677922
TAOT 1736712,2019-01-31,8,60+,0.002323381284955063
TAOT 1736712,2019-02-28,9,60+,0.0017981282476036756
TAOT 1736712,2019-03-31,10,60+,0.0016045795567891062
TAOT 1736712,2019-04-30,11,60+,0.0018164097111465533
TAOT 1736712,2019-05-31,12,60+,0.0017183684543727955
TAOT 1736712,2019-06-30,13,60+,0.002213375551422555
TAOT 1736712,2019-07-31,14,60+,0.0022158662308272565
TAOT 1736712,2019-08-31,15,60+,0.0026997059248903246
TAOT 1736712,2019-09-30,16,60+,0.002766115090145715
TAOT 1736712,2019-10-31,17,60+,0.00255883640281472
TAOT 1736712,2019-11-30,18,60+,0.003076447133232504
TAOT 1736712,2019-12-31,19,60+,0.003528234653934596
TAOT 1736712,2020-01-31,20,60+,0.0032957533407772933
TAOT 1736712,2020-02-29,21,60+,0.0028376112472591254
TAOT 1736712,2020-03-31,22,60+,0.0028683574879227055
TAOT 1736712,2020-04-30,23,60+,0.002799335881694274
TAOT 1736712,2020-05-31,24,60+,0.002795345056600781
TAOT 1736712,2020-06-30,25,60+,0.0023978357994835432
TAOT 1736712,2020-07-31,26,60+,0.001971383147853736
TAOT 1736712,2020-08-31,27,60+,0.0022785531187695814
TAOT 1736712,2020-09-30,28,60+,0.0021780560849441874
TAOT 1736712,2020-10-31,29,60+,0.002553949249045198
TAOT 1736712,2020-11-30,30,60+,0.0024416777468874652
TAOT 1736712,2020-12-31,31,60+,0.002787823990355636
TAOT 1736712,2021-01-31,32,60+,0.002655765876012185
TAOT 1736712,2021-02-28,33,60+,0.002317746934375421
TAOT 1736712,2021-03-31,34,60+,0.0015329586101175269
TAOT 1736712,2021-04-30,35,60+,0.0016364177328176137
TAOT 1736712,2021-05-31,36,60+,0.00196078431372549
TAOT 1736712,2021-06-30,37,60+,0.002353248790691594
TAOT 1736712,2021-07-31,38,60+,0.0025223259935919285
TAOT 1736712,2021-08-31,39,60+,0.0026863426340484973
TAOT 1736712,2021-09-30,40,60+,0.00270473328324568
TAOT 1736712,2021-10-31,41,60+,0.002672745853313419
TAOT 1736712,2021-11-30,42,60+,0.0037237783938102527
TAOT 1736712,2021-12-31,43,60+,0.004167397789085804
TAOT 1736712,2022-01-31,44,60+,0.0034383421615091533
TAOT 1736712,2022-02-28,45,60+,0.0038117578067732006
TAOT 1736712,2022-03-31,46,60+,0.003273407461290658
TAOT 1736712,2022-04-30,47,60+,0.003539627233007024
TAOT 1736712,2022-05-31,48,60+,0.004062408007065058
TAOT 1745763,2018-08-31,0,60+,0.0007019065019250818
TAOT 1745763,2018-09-30,1,60+,0.0011505313362898501
TAOT 1745763,2018-10-31,2,60+,0.001333077382475898
TAOT 1745763,2018-11-30,3,60+,0.0015415011181310928
TAOT 1745763,2018-12-31,4,60+,0.0017016198537048906
TAOT 1745763,2019-01-31,5,60+,0.002072445485673094
TAOT 1745763,2019-02-28,6,60+,0.0019140181774420925
TAOT 1745763,2019-03-31,7,60+,0.0016698974706308243
TAOT 1745763,2019-04-30,8,60+,0.0015967968731380633
TAOT 1745763,2019-05-31,9,60+,0.0018101196622729758
TAOT 1745763,2019-06-30,10,60+,0.001918008241248314
TAOT 1745763,2019-07-31,11,60+,0.0018976532354987666
TAOT 1745763,2019-08-31,12,60+,0.0023899338569656884
TAOT 1745763,2019-09-30,13,60+,0.0028441034459951056
TAOT 1745763,2019-10-31,14,60+,0.0027155189883678516
TAOT 1745763,2019-11-30,15,60+,0.003080731673772521
TAOT 1745763,2019-12-31,16,60+,0.003225535018091044
TAOT 1745763,2020-01-31,17,60+,0.0032960261389203367
TAOT 1745763,2020-02-29,18,60+,0.002997996460901739
TAOT 1745763,2020-03-31,19,60+,0.002662478498242465
TAOT 1745763,2020-04-30,20,60+,0.0033636572127513187
TAOT 1745763,2020-05-31,21,60+,0.003011622982447885
TAOT 1745763,2020-06-30,22,60+,0.0025494973617543122
TAOT 1745763,2020-07-31,23,60+,0.0022249157354674812
TAOT 1745763,2020-08-31,24,60+,0.002598557116969262
