Series Label,Reporting Date,vintage_month,bucket,dq_rate
BLAST 2024-2,2024-09-30,5,30-59,0.0861003416375571
BLAST 2024-2,2024-10-31,6,30-59,0.08117342130065976
BLAST 2024-2,2024-11-30,7,30-59,0.07981012912828352
BLAST 2024-2,2024-12-31,8,30-59,0.08382298557751572
BLAST 2024-2,2025-01-31,9,30-59,0.08816131466420726
BLAST 2024-2,2025-02-28,10,30-59,0.0848863053513421
BLAST 2024-2,2025-03-31,11,30-59,0.09447477615199826
BLAST 2024-2,2025-04-30,12,30-59,0.09219699678226671
BLAST 2024-2,2025-05-31,13,30-59,0.1095570026598184
BLAST 2024-2,2025-06-30,14,30-59,0.09677722005910776
BLAST 2024-2,2025-07-31,15,30-59,0.10221087616203459
BLAST 2024-2,2025-08-31,16,30-59,0.1211519364448858
BLAST 2024-2,2025-09-30,17,30-59,0.10673209630424782
BLAST 2024-2,2025-10-31,18,30-59,0.10051465182228758
BLAST 2024-2,2025-11-30,19,30-59,0.11912225705329153
BLAST 2024-2,2025-12-31,20,30-59,0.11526046304541407
BLAST 2024-3,2024-07-31,0,30-59,0.02232696601339618
BLAST 2024-3,2024-08-31,1,30-59,0.05522671431762341
BLAST 2024-3,2024-09-30,2,30-59,0.06718785406752775
BLAST 2024-3,2024-10-31,3,30-59,0.07727627133327558
BLAST 2024-3,2024-11-30,4,30-59,0.0868846165204808
BLAST 2024-3,2024-12-31,5,30-59,0.07922353654837731
BLAST 2024-3,2025-01-31,6,30-59,0.07094330171253248
BLAST 2024-3,2025-02-28,7,30-59,0.06366640746500778
BLAST 2024-3,2025-03-31,8,30-59,0.0782032747201022
BLAST 2024-3,2025-04-30,9,30-59,0.08395139106514851
BLAST 2024-3,2025-05-31,10,30-59,0.10180725073340335
BLAST 2024-3,2025-06-30,11,30-59,0.09672830725462304
BLAST 2024-3,2025-07-31,12,30-59,0.09540992511543088
BLAST 2024-3,2025-08-31,13,30-59,0.11783670508583864
BLAST 2024-3,2025-09-30,14,30-59,0.1077951187116055
BLAST 2024-3,2025-10-31,15,30-59,0.10486634681288554
BLAST 2024-3,2025-11-30,16,30-59,0.1182729239327182
BLAST 2024-3,2025-12-31,17,30-59,0.1093614891002594
BLAST 2024-4,2024-10-31,0,30-59,0.017179817372980567
BLAST 2024-4,2024-11-30,1,30-59,0.04583518271933718
BLAST 2024-4,2024-12-31,2,30-59,0.06305064429127959
BLAST 2024-4,2025-01-31,3,30-59,0.07232809879554811
BLAST 2024-4,2025-02-28,4,30-59,0.06581278950477197
BLAST 2024-4,2025-03-31,5,30-59,0.06918119185954218
BLAST 2024-4,2025-04-30,6,30-59,0.05686865739389813
BLAST 2024-4,2025-05-31,7,30-59,0.07459021832901984
BLAST 2024-4,2025-06-30,8,30-59,0.07587330685405846
BLAST 2024-4,2025-07-31,9,30-59,0.09203971433548162
BLAST 2024-4,2025-08-31,10,30-59,0.11077640308409539
BLAST 2024-4,2025-09-30,11,30-59,0.10105441675269135
BLAST 2024-4,2025-10-31,12,30-59,0.10228786782899996
BLAST 2024-4,2025-11-30,13,30-59,0.11458660798491041
BLAST 2024-4,2025-12-31,14,30-59,0.1040399123874422
BLAST 2025-1,2025-01-31,0,30-59,0.01763311739611313
BLAST 2025-1,2025-02-28,1,30-59,0.031422994464177144
BLAST 2025-1,2025-03-31,2,30-59,0.051013118586829456
BLAST 2025-1,2025-04-30,3,30-59,0.05707105776543332
BLAST 2025-1,2025-05-31,4,30-59,0.07484323376710943
BLAST 2025-1,2025-06-30,5,30-59,0.06342988695323507
BLAST 2025-1,2025-07-31,6,30-59,0.06306782167758293
BLAST 2025-1,2025-08-31,7,30-59,0.0794341675734494
BLAST 2025-1,2025-09-30,8,30-59,0.08267291736428917
BLAST 2025-1,2025-10-31,9,30-59,0.09153282992832228
BLAST 2025-1,2025-11-30,10,30-59,0.10465759924086668
BLAST 2025-1,2025-12-31,11,30-59,0.10011850762126599
BLAST 2025-2,2025-05-31,0,30-59,0.014623079866615644
BLAST 2025-2,2025-06-30,1,30-59,0.03985886763327637
BLAST 2025-2,2025-07-31,2,30-59,0.05794152894289457
BLAST 2025-2,2025-08-31,3,30-59,0.08198257018764016
BLAST 2025-2,2025-09-30,4,30-59,0.07371526070736574
BLAST 2025-2,2025-10-31,5,30-59,0.06937799043062201
BLAST 2025-2,2025-11-30,6,30-59,0.07439138435548584
BLAST 2025-2,2025-12-31,7,30-59,0.07699660807893925
BLAST 2025-3,2025-07-31,0,30-59,0.025341864257935016
BLAST 2025-3,2025-08-31,1,30-59,0.06128581707368688
BLAST 2025-3,2025-09-30,2,30-59,0.07257062025804792
BLAST 2025-3,2025-10-31,3,30-59,0.07722261113055653
BLAST 2025-3,2025-11-30,4,30-59,0.09559973196336832
BLAST 2025-3,2025-12-31,5,30-59,0.08640847643405188
BLAST 2025-4,2025-10-31,0,30-59,0.014198853036689007
BLAST 2025-4,2025-11-30,1,30-59,0.044977041881174344
BLAST 2025-4,2025-12-31,2,30-59,0.06191145467322558
