Series Label,Reporting Date,vintage_month,bucket,dq_rate
VALET 2021-1,2024-07-31,32,60+,0.0019373587342589602
VALET 2021-1,2024-08-30,33,60+,0.0021951586227634944
VALET 2021-1,2024-09-30,34,60+,0.0023084025854108957
VALET 2021-1,2024-10-31,35,60+,0.002495892834576014
VALET 2021-1,2024-11-29,36,60+,0.002367823548491729
VALET 2021-1,2024-12-31,37,60+,0.0026746907388833165
VALET 2021-1,2025-01-31,38,60+,0.002035254751802408
VALET 2021-1,2025-02-28,39,60+,0.002175153330480673
VALET 2021-1,2025-03-31,40,60+,0.002193879448183542
VALET 2021-1,2025-04-30,41,60+,0.0023219814241486067
VALET 2021-1,2025-05-30,42,60+,0.0023141569566806058
VALET 2021-1,2025-06-30,43,60+,0.002363253555622395
VALET 2023-1,2023-05-31,0,60+,2.3004370830457787e-05
VALET 2023-1,2023-06-30,1,60+,0.0009098968783537866
VALET 2023-1,2023-07-31,2,60+,0.0013250674364677487
VALET 2023-1,2023-08-31,3,60+,0.0016803091768885475
VALET 2023-1,2023-09-29,4,60+,0.0026762687947058535
VALET 2023-1,2023-10-31,5,60+,0.0020733573579503383
VALET 2023-1,2023-11-30,6,60+,0.0024490815944020992
VALET 2023-1,2023-12-29,7,60+,0.0028111941243510194
VALET 2023-1,2024-01-31,8,60+,0.0026235242675994755
VALET 2023-1,2024-02-29,9,60+,0.001903272063616217
VALET 2023-1,2024-03-29,10,60+,0.0017465399984122364
VALET 2023-1,2024-04-30,11,60+,0.002017593414575095
VALET 2023-1,2024-05-31,12,60+,0.0020242914979757085
VALET 2023-1,2024-06-28,13,60+,0.0024460071712482977
VALET 2023-1,2024-07-31,14,60+,0.0026838432635534087
VALET 2023-1,2024-08-30,15,60+,0.0031942446043165466
VALET 2023-1,2024-09-30,16,60+,0.0031036804965888795
VALET 2023-1,2024-10-31,17,60+,0.002925111184073068
VALET 2023-1,2024-11-29,18,60+,0.0029173124259276144
VALET 2023-1,2024-12-31,19,60+,0.003285904708763446
VALET 2023-1,2025-01-31,20,60+,0.00310726402232157
VALET 2023-1,2025-02-28,21,60+,0.0027833516732474594
VALET 2023-1,2025-03-31,22,60+,0.0021226493316971245
VALET 2023-1,2025-04-30,23,60+,0.0026156668251919287
VALET 2023-1,2025-05-30,24,60+,0.002811718966953624
VALET 2023-1,2025-06-30,25,60+,0.0033012672606581236
VALET 2023-1,2025-07-31,26,60+,0.00265676747825454
VALET 2023-1,2025-08-29,27,60+,0.003432323533800925
VALET 2023-1,2025-09-30,28,60+,0.003378119001919386
VALET 2023-1,2025-10-31,29,60+,0.003857660210990395
VALET 2023-1,2025-11-28,30,60+,0.003264944173485429
VALET 2023-1,2025-12-31,31,60+,0.0038642124070303735
VALET 2023-2,2023-11-30,0,60+,0.0010688654756451366
VALET 2023-2,2023-12-29,1,60+,0.0016002064782552588
VALET 2023-2,2024-01-31,2,60+,0.0019377272847928226
VALET 2023-2,2024-02-29,3,60+,0.0018150786985614824
VALET 2023-2,2024-03-29,4,60+,0.0014984599161972417
VALET 2023-2,2024-04-30,5,60+,0.0025271885737002016
VALET 2023-2,2024-05-31,6,60+,0.0023864959254947613
VALET 2023-2,2024-06-28,7,60+,0.0027704957102001907
VALET 2023-2,2024-07-31,8,60+,0.0026029704486296126
VALET 2023-2,2024-08-30,9,60+,0.0027609575502776647
VALET 2023-2,2024-09-30,10,60+,0.0029918929352721656
VALET 2023-2,2024-10-31,11,60+,0.002608207600118855
VALET 2023-2,2024-11-29,12,60+,0.0031777154254420065
VALET 2023-2,2024-12-31,13,60+,0.003578003960120888
VALET 2023-2,2025-01-31,14,60+,0.002958368976333048
VALET 2023-2,2025-02-28,15,60+,0.0025788173761441234
VALET 2023-2,2025-03-31,16,60+,0.002151814201973733
VALET 2023-2,2025-04-30,17,60+,0.0027666186614113547
VALET 2023-2,2025-05-30,18,60+,0.00231839258114374
VALET 2023-2,2025-06-30,19,60+,0.00303951367781155
VALET 2023-2,2025-07-31,20,60+,0.0026666666666666666
VALET 2023-2,2025-08-29,21,60+,0.00367222313913187
VALET 2023-2,2025-09-30,22,60+,0.0034641544505935535
VALET 2023-2,2025-10-31,23,60+,0.0031979256698357822
VALET 2023-2,2025-11-28,24,60+,0.003970880211780278
VALET 2023-2,2025-12-31,25,60+,0.004122683821863815
VALET 2024-1,2024-11-29,0,60+,0.0009235548465639561
VALET 2024-1,2024-12-31,1,60+,0.0013838620395997445
VALET 2024-1,2025-01-31,2,60+,0.0017880505887483645
VALET 2024-1,2025-02-28,3,60+,0.0014405070584845865
VALET 2024-1,2025-03-31,4,60+,0.001487156376746282
VALET 2024-1,2025-04-30,5,60+,0.0016283656712994816
VALET 2024-1,2025-05-30,6,60+,0.0012812449041395859
VALET 2024-1,2025-06-30,7,60+,0.0019199317357605063
VALET 2024-1,2025-07-31,8,60+,0.0018643164979904121
VALET 2024-1,2025-08-29,9,60+,0.0022695875271363727
VALET 2024-1,2025-09-30,10,60+,0.0018102277869965304
VALET 2024-1,2025-10-31,11,60+,0.0020762309999231027
VALET 2024-1,2025-11-28,12,60+,0.0022670419011882425
VALET 2024-1,2025-12-31,13,60+,0.0025231063422925743
VALET 2025-1,2025-03-31,0,60+,0.0010894055312089925
VALET 2025-1,2025-04-30,1,60+,0.0011817953231078703
VALET 2025-1,2025-05-30,2,60+,0.0013559495484432164
VALET 2025-1,2025-06-30,3,60+,0.0014860390541491775
VALET 2025-1,2025-07-31,4,60+,0.001514386673397274
VALET 2025-1,2025-08-29,5,60+,0.0022177746524584844
VALET 2025-1,2025-09-30,6,60+,0.002121972056108248
VALET 2025-1,2025-10-31,7,60+,0.0021039048473967684
VALET 2025-1,2025-11-28,8,60+,0.002223742730071844
VALET 2025-1,2025-12-31,9,60+,0.002560223437681834
VALET 2025-2,2025-11-28,0,60+,0.0013461969934933811
VALET 2025-2,2025-12-31,1,60+,0.001981227061612914
VALET 2018-1,2018-07-31,0,30-59,0.0039281609688320155
VALET 2018-1,2018-08-31,1,30-59,0.004446614469806616
VALET 2018-1,2018-09-28,2,30-59,0.0045624811376023
VALET 2018-1,2018-10-31,3,30-59,0.004703668861712135
VALET 2018-1,2018-11-30,4,30-59,0.004896546646049628
VALET 2018-1,2018-12-31,5,30-59,0.005327330707184393
