issuer_code,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count
MBALT,2018-02-01,81237,81075,119,43,3933422352.7386646,3119111656.0999956,2432519556.660001,5003450767.8,78747,0,2490
MBALT,2018-03-01,79487,79324,119,44,3804396768.512244,3023087415.819994,2378169395.2200003,4895480802.8,77105,0,2382
MBALT,2018-04-01,77529,77369,104,56,3669609261.6978464,2921577315.35,2316689568.8,4772855073.8,75244,0,2285
MBALT,2018-05-01,75391,75183,153,55,3529280033.6666527,2815637740.089992,2250778085.54,4641564438.8,73197,0,2194
MBALT,2018-06-01,73375,73209,121,45,3396869515.531627,2715587774.7999945,2189457969.1900005,4519140939.8,71268,0,2107
MBALT,2018-07-01,71534,71323,154,57,3272155210.5133586,2621812393.1999936,2133974165.340001,4407783545.5,69484,0,2050
MBALT,2018-08-01,69266,69050,155,61,3119003841.362241,2516611641.3399916,2066700758.8700004,4272552916.5,67278,0,1988
MBALT,2018-09-01,67260,67064,148,48,3011561099.2133255,2423451486.7899933,2008557616.889999,4155988366.5,65321,0,1939
MBALT,2018-10-01,94105,93867,188,50,4417228622.51855,3492810826.4300003,2792002280.51,5859287195.5,91713,0,2392
MBALT,2018-11-01,91102,90886,154,62,4230959931.1242805,3351782495.0300174,2700130881.0299997,5673802054.0,88805,0,2297
MBALT,2018-12-01,126089,125739,264,86,6043049731.62788,4727857631.20001,3700332947.5999994,7868687661.0,123273,0,2816
MBALT,2019-01-01,122856,122510,241,105,5822552781.2471485,4563974582.769991,3601026314.7999997,7667238355.0,120149,0,2707
MBALT,2019-02-01,120008,119741,183,84,5616965718.131094,4411153042.550009,3512198809.47,7486906874.0,117407,0,2601
MBALT,2019-03-01,115065,114797,185,83,5348513915.742508,4205143644.950002,3366092493.919999,7192319662.0,112602,0,2463
MBALT,2019-04-01,109471,109223,163,85,5053655385.679798,3976879112.700002,3198823142.1799984,6852693165.0,107179,0,2292
MBALT,2019-05-01,104904,104601,215,88,4797251060.964941,3779259398.689987,3059300808.529999,6568971933.0,102789,0,2115
MBALT,2019-06-01,101606,101313,215,78,4592584167.534191,3623964901.660007,2957986612.4799995,6361311240.0,99610,0,1996
MBALT,2019-07-01,97364,97006,269,89,4352974624.87455,3439426307.5999994,2828595961.1899977,6095514610.0,95523,0,1841
MBALT,2019-08-01,79401,79188,159,54,3613220969.779348,2832011173.620004,2289686495.22,4992557110.0,78193,0,1208
MBALT,2019-09-01,76783,76572,144,67,3453429500.0310283,2711281121.300003,2211825151.5699987,4829824615.0,75619,0,1164
MBALT,2019-10-01,108019,107713,238,68,5143750772.97409,4042849553.580016,3137107685.0099983,6848064569.0,105903,0,2116
MBALT,2019-11-01,104842,104570,193,79,4937194442.3959875,3889485767.7099967,3041743059.7100005,6646374822.0,102761,0,2081
MBALT,2019-12-01,142226,141794,329,103,6932788389.623348,5444433548.289998,4113431910.010001,9029285926.0,139625,0,2601
MBALT,2020-01-01,136627,136170,359,98,6608585164.033712,5201121593.800001,3949822072.360001,8681654946.0,134112,0,2515
MBALT,2020-02-01,131944,131555,287,102,6325877877.484194,4988709803.900011,3811406125.41,8385273321.0,129497,0,2447
MBALT,2020-03-01,128077,127583,378,116,6057189244.189951,4795846394.620001,3695513095.859999,8136023923.0,125700,0,2377
MBALT,2020-04-01,125990,125490,318,182,5869909884.33152,4666422819.569994,3633478721.410001,8001931200.0,123651,0,2339
MBALT,2020-05-01,121493,121120,243,130,5612577492.789089,4475336697.3099985,3506265567.26,7725923194.0,119219,0,2274
MBALT,2020-06-01,114961,114639,211,111,5275713361.582401,4218850941.450005,3315423247.21,7314943937.0,112778,0,2183
MBALT,2020-07-01,102335,101993,259,83,4713562674.233993,3775978785.7599945,2949473209.5600004,6504696033.0,100438,0,1897
MBALT,2020-08-01,127072,126597,369,106,5976025756.203781,4761522185.479993,3603778110.54,7996694409.0,124992,0,2080
MBALT,2020-09-01,123144,122764,248,132,5725834773.17553,4572922365.580002,3488875001.9399996,7748209398.0,121122,0,2022
MBALT,2020-10-01,118830,118436,289,105,5464065946.032461,4373618454.879978,3361729939.240001,7470606623.0,116861,0,1969
MBALT,2020-11-01,114836,114428,279,129,5220666331.579206,4189692490.2299986,3246121886.9400005,7216323414.0,112905,0,1931
MBALT,2020-12-01,145817,145295,394,128,6805383404.231601,5453856179.119993,4113512109.4399996,9130341837.0,143376,0,2441
MBALT,2021-01-01,140992,140532,320,140,6518875284.013213,5236831853.360001,3974300681.290001,8825352832.0,138600,0,2392
MBALT,2021-02-01,135800,135318,334,148,6227524945.020043,5014420134.700008,3826993069.1899996,8503370739.0,133455,0,2345
MBALT,2021-03-01,121707,121382,251,74,5591117905.476891,4506540965.120003,3425502715.589999,7614365077.0,119590,0,2117
MBALT,2021-04-01,116026,115747,197,82,5290600444.229381,4272304674.1399913,3265937935.5900006,7264316915.0,113979,0,2047
MBALT,2021-05-01,135713,135457,194,62,6549309687.23192,5262981714.949991,3810268864.7300014,8475321444.0,133004,0,2709
MBALT,2021-06-01,131207,130944,188,75,6264979159.392639,5045303501.480007,3685827951.6800013,8199667974.0,128567,0,2640
MBALT,2021-07-01,126902,126618,205,79,6004165565.646168,4843344933.3300085,3568254417.3799996,7938204624.0,124331,0,2571
MBALT,2021-08-01,122427,122122,212,93,5730097467.715705,4630291435.229999,3439782523.6300015,7651828269.0,119966,0,2461
MBALT,2021-09-01,117765,117471,223,71,5457370096.886785,4417616747.500001,3308044698.78,7357585849.0,115388,0,2377
MBALT,2021-10-01,113091,112791,221,79,5192848564.059842,4210504245.5099845,3176365726.8900023,7064296834.0,110799,0,2292
MBALT,2021-11-01,107764,107460,219,85,4900690400.932668,3980362454.9000072,3026235506.8900013,6731719029.0,105553,0,2211
MBALT,2021-12-01,102982,102558,326,98,4635113865.32525,3769672553.0999975,2887940830.0899997,6426601754.0,100883,0,2099
MBALT,2022-01-01,98547,98179,242,126,4387165667.765109,3573771005.5499983,2761060709.1400003,6144456889.0,96539,0,2008
MBALT,2022-02-01,93447,93164,199,84,4121317926.096371,3361020796.5300035,2614348059.2900014,5822077440.0,91572,0,1875
MBALT,2022-03-01,87738,87407,258,73,3842532153.3689537,3136214437.5699973,2452860587.7800007,5469717320.0,85967,0,1771
MBALT,2022-04-01,76124,75864,176,84,3350765071.3183026,2727913696.4100027,2119351633.8300004,4729959008.0,74704,0,1420
MBALT,2022-05-01,72413,72107,208,98,3157347100.8183484,2574007850.570004,2016330813.4800007,4503524778.0,71057,0,1356
MBALT,2022-06-01,60592,60369,145,78,2671232574.85683,2174884509.5700026,1685719893.6300008,3751132225.0,59409,0,1183
MBALT,2022-07-01,58663,58475,122,66,2555147667.404188,2083685659.309998,1632879363.58,3633850655.0,57509,0,1154
MBALT,2022-08-01,56517,56281,177,59,2428317105.340607,1983120933.719998,1572888221.4800005,3501445793.0,55405,0,1112
MBALT,2022-09-01,54330,54118,152,60,2306300168.1589694,1886204869.1600058,1512836363.8800006,3369037483.0,53248,0,1082
MBALT,2022-10-01,51926,51664,186,76,2178787771.5771255,1784192695.300002,1445073338.5800002,3220762268.0,50873,0,1053
MBALT,2022-11-01,49062,48828,154,80,2037351051.7371325,1671006590.3899903,1365161718.0300007,3045233603.0,48042,0,1020
MBALT,2022-12-01,46111,45862,173,76,1895812746.6379879,1558034037.1400018,1283113530.6299999,2864386263.0,45135,0,976
MBALT,2023-01-01,43255,43016,169,70,1758575077.2720556,1448084366.3500009,1203031016.98,2688105143.0,42317,0,938
MBALT,2023-02-01,40576,40375,133,68,1631463637.5281909,1346561689.5699978,1128493338.23,2523788188.0,39681,0,895
MBALT,2023-03-01,32072,31895,126,51,1290064591.960505,1065913709.0100006,890594027.7500001,1986980053.0,31309,0,763
MBALT,2023-04-01,64906,64695,158,53,3304635467.7259007,2546454106.7699914,1828832043.9599996,4163385647.0,63486,0,1420
MBALT,2023-05-01,61665,61384,207,74,3124894274.58455,2411981251.4699965,1738230559.4499998,3965227437.0,60307,0,1358
MBALT,2023-06-01,57756,57483,181,92,2927801533.071167,2259936470.4199915,1628400753.1499991,3724452532.0,56477,0,1279
MBALT,2023-07-01,48064,47825,169,70,2518035832.325006,1930596961.7200048,1357496321.9499998,3113995644.0,46949,0,1115
MBALT,2023-08-01,46015,45721,222,72,2397181228.4843016,1840736180.9799888,1300574429.1,2987572819.0,44946,0,1069
MBALT,2023-09-01,44048,43745,201,102,2284759438.4469256,1756839396.8600006,1245752406.0999997,2866563799.0,43034,0,1014
MBALT,2023-10-01,41720,41417,202,101,2152776125.7237787,1657439590.7699962,1179123946.85,2719066249.0,40794,0,926
MBALT,2023-11-01,39351,39065,190,96,2026714753.0107265,1561350123.989997,1111612338.3,2570433104.0,38521,0,830
MBALT,2023-12-01,37153,36835,208,110,1911447353.8968492,1473171348.9600027,1048799723.1,2433308184.0,36411,0,742
MBALT,2024-01-01,34931,34595,204,132,1792262430.894432,1382220344.249996,985141517.8499998,2293811364.0,34252,0,679
MBALT,2024-02-01,32957,32649,213,95,1685606542.7980273,1301377061.9099996,929285301.6000003,2169126110.0,32338,0,619
MBALT,2024-03-01,24963,24785,118,60,1368088356.756188,1043738972.4999948,716991978.1,1668928025.0,24555,0,408
MBALT,2024-04-01,50068,49820,181,67,3245922480.109989,2420291871.9300036,1570528074.1200008,3566422377.0,47399,0,2669
MBALT,2024-05-01,48808,48556,178,74,3134355490.1386557,2345041950.4200063,1533028188.020001,3483773079.0,46193,0,2615
MBALT,2024-06-01,47837,47573,191,73,3038627762.3627567,2280701697.109997,1502993150.2699995,3417088344.0,45259,0,2578
MBALT,2024-07-01,46624,46310,225,89,2929481259.4067774,2206400646.1500077,1466502498.9200006,3337047806.0,44100,0,2524
MBALT,2024-08-01,74430,74066,259,105,4707249463.88249,3545781678.8600087,2365418100.85,5368090060.0,70679,0,3751
MBALT,2024-09-01,72533,72133,267,133,4538014917.309122,3430050333.7200027,2307551263.3500004,5238446595.0,68840,0,3693
MBALT,2024-10-01,70296,69832,318,146,4357339202.938791,3302778137.269989,2238218365.0,5086551850.0,66689,0,3607
MBALT,2024-11-01,68252,67838,276,138,4191073967.667548,3185458690.449997,2173813207.5000005,4944915920.0,64736,0,3516
MBALT,2024-12-01,65943,65463,322,158,4010465527.6059694,3057392279.000002,2102368160.5299993,4785786270.0,62520,0,3423
MBALT,2025-01-01,63556,63088,312,156,3830984641.98515,2929200715.8600073,2029201369.3799987,4620464257.0,60209,0,3347
MBALT,2025-02-01,61400,60925,341,134,3669680666.6733074,2814049626.0600014,1963105957.829999,4472629880.0,58134,0,3266
MBALT,2025-03-01,58939,58460,338,141,3495152078.208724,2687732513.6600003,1887787183.7299993,4304305415.0,55769,0,3170
MBALT,2025-04-01,83063,82579,332,152,5288091438.203377,3988281304.110013,2716082318.7299986,6178091936.0,78775,0,4288
MBALT,2025-05-01,80594,80112,338,144,5085986801.244011,3847592118.570008,2639133781.9299994,6005828296.0,76383,0,4211
MBALT,2025-06-01,78202,77714,340,148,4889534269.140573,3709351315.1900024,2563976623.329999,5837076456.0,74077,0,4125
MBALT,2025-07-01,75668,75138,381,149,4689223137.79126,3568349828.7300053,2486789009.0299993,5663087298.0,71639,0,4029
MBALT,2025-08-01,73593,73073,380,140,4514976711.131535,3446515781.9899974,2422371677.529998,5517029412.0,69625,0,3968
MBALT,2025-09-01,100838,100269,418,151,6325428243.480688,4789610554.679991,3338867449.3799977,7625823742.0,96103,0,4735
MBALT,2025-10-01,98173,97598,427,148,6087480354.686079,4625365341.049997,3253000884.829998,7430275557.0,93543,0,4630
MBALT,2025-11-01,96007,95422,437,148,5888340660.404445,4488650467.599995,3183611199.529999,7272646167.0,91452,0,4555
MBALT,2025-12-01,115801,115232,435,134,7384996439.8912115,5594272800.69,3904127414.229998,8872630260.0,110510,0,5291
MBALT,2026-01-01,113829,113241,430,158,7158716915.254674,5444823035.920003,3837957438.779999,8721246097.0,108616,0,5213
MBALT,2026-02-01,111633,111082,399,152,6932440171.676711,5291725447.76,3762388023.329998,8549714074.0,106527,0,5106
MBALT,2026-03-01,108871,108281,449,141,6661332775.864658,5104949923.410016,3666970383.1800003,8333953856.0,103913,0,4958
MBALT,2026-04-01,106092,105542,389,161,6406190141.601367,4927241403.739978,3570990906.529999,8118251648.0,101299,0,4793
NALT,2017-05-01,70867,70867,0,0,1860698827.4300125,1444959096.939993,1000357667.4099996,2243338753.0,70556,0,311
NALT,2017-06-01,70567,70367,200,0,1827942369.6799872,1422276966.099994,996310163.6100018,2234114052.9999995,70259,0,308
NALT,2017-07-01,70272,69608,569,95,1795603637.7599933,1399784136.1799946,992317784.3600012,2225028913.0,69969,0,303
NALT,2017-08-01,141608,140885,566,157,3682750921.460022,2881708817.0299935,2028221768.7300062,4533231756.780001,140831,0,777
NALT,2017-09-01,141030,140126,739,165,3617861655.8499823,2836570088.039999,2020397564.8800108,4515491176.78,140270,0,760
NALT,2017-10-01,140213,138783,1224,206,3547871034.5900064,2787155739.019997,2009425091.3699918,4490719256.780001,139465,0,748
NALT,2017-11-01,139400,138284,784,332,3479151332.240012,2738552264.3600097,1998813112.4000077,4466437972.780001,138661,0,739
NALT,2017-12-01,138606,136643,1588,375,3411680356.8100023,2690607017.9100103,1988472177.489996,4443056609.360001,137876,0,730
NALT,2018-01-01,137586,136057,1146,383,3339179240.2999964,2638408138.6799884,1974593455.2300074,4411758213.190001,136869,0,717
NALT,2018-02-01,136606,135536,801,269,3268842206.3499913,2587768072.880001,1961653309.8300085,4382480103.190001,135897,0,709
NALT,2018-03-01,135283,134035,1038,210,3192083670.800013,2531712424.290007,1943982996.3800087,4342670727.190001,134590,0,693
NALT,2018-04-01,133938,133029,640,269,3116264499.8700013,2476137879.140011,1926196285.180005,4302413727.190001,133265,0,673
NALT,2018-05-01,132223,130850,1084,289,3033739808.6099977,2414961575.269986,1903258355.5299997,4250646860.1900005,131562,0,661
NALT,2018-06-01,130300,129190,761,349,2948647711.5899935,2351509725.829995,1877354868.920012,4192303984.1899996,129660,0,640
NALT,2018-07-01,128008,126443,1223,342,2857822662.789995,2283162974.5500064,1846408824.7599974,4122438250.1900005,127389,0,619
NALT,2018-08-01,125163,123638,1132,393,2758841527.899994,2208114262.5800047,1808634025.6500068,4036632855.73,124560,0,603
NALT,2018-09-01,165473,164170,887,416,3811045228.9299965,3036177607.3799963,2385475948.600005,5374094755.76,164728,0,745
NALT,2018-10-01,161426,159591,1460,375,3676380423.009991,2934169429.489996,2331546254.5299816,5250778258.76,160716,0,710
NALT,2018-11-01,156999,155711,883,405,3537129329.5399656,2828072633.880001,2271909208.66,5114889847.76,156307,0,692
NALT,2018-12-01,152160,150129,1597,434,3392079011.3999987,2716745772.099997,2205667238.879992,4964912442.9,151504,0,656
NALT,2019-01-01,146037,144130,1440,467,3229079386.059998,2590235426.3300056,2122932691.7199874,4778511081.01,145429,0,608
NALT,2019-02-01,139803,138504,958,341,3068736387.7099996,2465272897.08,2039146460.3299904,4591171270.4,139237,0,566
NALT,2019-03-01,206322,204664,1358,300,4864132534.679979,3824346865.270004,2944641094.550007,6839903533.54,205717,0,605
NALT,2019-04-01,197748,196527,859,362,4637218825.559997,3648204971.9699907,2827090316.5899944,6577891573.54,197192,0,556
NALT,2019-05-01,188445,186745,1311,389,4400912000.519983,3463964226.4399967,2699185348.1299887,6292712141.54,187926,0,519
NALT,2019-06-01,253615,252252,923,440,6142190304.669995,4799795684.759999,3608100971.210015,8484732913.15,253070,0,545
NALT,2019-07-01,244516,242349,1698,469,5882738825.8400135,4600130719.8500185,3480847918.050038,8197742158.15,243999,0,517
NALT,2019-08-01,235914,233483,1808,623,5635379597.429974,4409753589.829986,3360346148.5200033,7923842383.15,235418,0,496
NALT,2019-09-01,227549,225837,1094,618,5392142666.259991,4222675205.1699834,3241613057.5500207,7652386684.15,227079,0,470
NALT,2019-10-01,218706,216436,1743,527,5141162321.209988,4028343610.9600105,3114228512.870025,7360519099.15,218268,0,438
NALT,2019-11-01,202019,200521,999,499,4734475630.919992,3704067734.809996,2857550068.679987,6789157628.049999,201710,0,309
NALT,2019-12-01,268958,266763,1660,535,6491583002.269991,5080682620.450033,3819924188.890014,9018910913.130001,268573,0,385
