series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Volkswagen Auto Lease Trust 2020-A,2021-08-31,38216,38055,117,44,1072221383.9696006,909624926.0200132,669834323.6400106,1570867092.0,37738,0,478,11
Volkswagen Auto Lease Trust 2020-A,2022-08-31,24787,24643,110,34,573161665.0847002,486035163.19270074,420223035.58999956,988079370.0,24510,0,277,23
Volkswagen Auto Lease Trust 2020-A,2020-09-30,41732,41732,0,0,1373202145.178604,1162803597.3200047,731412531.5999984,1717324576.0,41205,0,527,0
Volkswagen Auto Lease Trust 2020-A,2021-09-30,37662,37504,120,38,1040933310.6148002,883009384.7300001,660350761.5549972,1548182957.0,37191,0,471,12
Volkswagen Auto Lease Trust 2020-A,2022-09-30,23124,22987,103,34,525144516.7213001,445460496.79559994,388779752.65500295,915259684.0,22861,0,263,24
Volkswagen Auto Lease Trust 2020-A,2021-10-29,37091,36935,116,40,1010329506.0995979,856858525.5999992,650502520.1949961,1524866089.0,36626,0,465,13
Volkswagen Auto Lease Trust 2020-A,2022-10-31,21462,21314,112,36,478399570.0022012,405985562.8283994,357720716.51499474,842990294.0,21212,0,250,25
Volkswagen Auto Lease Trust 2020-A,2020-11-30,41417,41323,70,24,1325903870.4577873,1124125775.0900044,725782447.7499933,1703837610.0,40890,0,527,2
Volkswagen Auto Lease Trust 2020-A,2021-11-30,36397,36229,124,44,975236528.0652002,826718430.1758032,638087788.9150116,1495517632.0,35941,0,456,14
Volkswagen Auto Lease Trust 2020-A,2022-11-30,19908,19768,99,41,433909946.15550303,368747298.09629893,327870523.3300039,773051359.0,19665,0,243,26
Volkswagen Auto Lease Trust 2020-A,2022-12-30,18378,18220,108,50,391606904.2596992,333224505.1050999,299224831.38500375,705904416.0,18141,0,237,27
Volkswagen Auto Lease Trust 2020-A,2020-12-31,41207,41088,93,26,1300384285.0719988,1102934930.199994,721890932.2899953,1694638538.0,40684,0,523,3
Volkswagen Auto Lease Trust 2020-A,2021-12-31,35549,35398,104,47,937566451.6025999,794369048.2392004,623177793.5700104,1460406170.0,35108,0,441,15
Volkswagen Auto Lease Trust 2022-A,2023-01-31,37659,37333,249,77,1113235139.9671924,965719295.7199945,731918604.5900185,1559165898.0,34189,0,3470,9
Volkswagen Auto Lease Trust 2022-A,2024-01-31,25805,25427,266,112,642853359.5663975,569098689.2476007,496428429.72000706,1062460251.0,24070,0,1735,21
Volkswagen Auto Lease Trust 2022-A,2023-02-28,37287,36986,217,84,1086121360.5502949,944539693.4300041,724928837.4400156,1544019412.0,33856,0,3431,10
Volkswagen Auto Lease Trust 2022-A,2024-02-29,24228,23886,240,102,593645888.3834,525642988.9750992,462417545.59999675,992142750.0,22671,0,1557,22
Volkswagen Auto Lease Trust 2022-A,2024-03-29,22536,22246,200,90,543532354.5868003,481161877.668401,426621193.72999793,918078796.0,20244,0,2292,23
Volkswagen Auto Lease Trust 2022-A,2023-03-31,36741,36443,226,72,1053524904.6065009,918297259.1599991,714661956.3800008,1521811898.0,33374,0,3367,11
Volkswagen Auto Lease Trust 2022-A,2023-04-28,36160,35853,228,79,1022952672.495499,893872559.91,703725367.3800192,1498111730.0,32868,0,3292,12
Volkswagen Auto Lease Trust 2022-A,2022-04-29,40751,40751,0,0,1373831910.2604005,1162791075.4500017,790858748.9399979,1687568743.0,37006,0,3745,0
Volkswagen Auto Lease Trust 2022-A,2024-04-30,20593,20292,200,101,487403653.3047987,430836632.0515983,385110655.02999884,832263323.0,18453,0,2140,24
Volkswagen Auto Lease Trust 2022-A,2023-05-31,35370,35051,232,87,984235402.2257,861456537.607701,688270490.7799994,1464822809.0,32168,0,3202,13
Volkswagen Auto Lease Trust 2022-A,2024-05-31,18766,18476,190,100,436376222.92649984,384977536.5178997,347120893.29499936,753186637.0,16771,0,1995,25
Volkswagen Auto Lease Trust 2022-A,2024-06-28,17237,16951,205,81,394413417.1775981,347151869.83849996,315325674.3599964,686839711.0,15402,0,1835,26
Volkswagen Auto Lease Trust 2022-A,2022-06-30,40004,39867,113,24,1310273786.703095,1115413909.7299984,776292426.8550271,1655794250.0,36318,0,3686,2
Volkswagen Auto Lease Trust 2022-A,2023-06-30,34551,34244,230,77,947036608.4061857,830905296.7007931,672530385.8600175,1430758901.0,31437,0,3114,14
Volkswagen Auto Lease Trust 2022-A,2022-07-29,39681,39493,148,40,1282135723.599704,1094689828.5199995,769979088.7100186,1642126031.0,36023,0,3658,3
Volkswagen Auto Lease Trust 2022-A,2023-07-31,33711,33316,299,96,910359470.1247942,799973545.8676991,655849566.7100159,1395106687.0,30690,0,3021,15
Volkswagen Auto Lease Trust 2022-A,2024-07-31,15275,14972,224,79,344155894.8072009,301228037.76380086,276360822.73499817,605414444.0,13647,0,1628,27
Volkswagen Auto Lease Trust 2022-A,2024-08-30,13617,13344,197,76,302439443.22980016,263196471.8476991,244058411.609999,537261559.0,12175,0,1442,28
Volkswagen Auto Lease Trust 2022-A,2022-08-31,39262,39067,146,49,1249433645.213894,1069695013.0499992,761997564.200017,1624787422.0,35648,0,3614,4
Volkswagen Auto Lease Trust 2022-A,2023-08-31,32701,32277,317,107,870529350.188988,766301661.1320007,635872158.0000156,1352551166.0,29830,0,2871,16
Volkswagen Auto Lease Trust 2022-A,2023-09-29,31640,31231,288,121,831716404.246799,733411922.6395006,615115014.3900142,1308759510.0,28951,0,2689,17
Volkswagen Auto Lease Trust 2022-A,2022-09-30,38921,38704,168,49,1220279951.850298,1047689007.1499896,755390721.6050199,1610428709.0,35325,0,3596,5
Volkswagen Auto Lease Trust 2022-A,2022-10-31,38607,38367,182,58,1192965033.4174974,1027006605.9399995,749523966.4950166,1597640754.0,35042,0,3565,6
Volkswagen Auto Lease Trust 2022-A,2023-10-31,30245,29841,296,108,784914750.1176999,692885591.2821039,587698400.9200104,1251602249.0,27793,0,2452,18
Volkswagen Auto Lease Trust 2022-A,2022-11-30,38294,38011,216,67,1166168962.852796,1006627376.3399956,743620884.2050173,1584799210.0,34759,0,3535,7
Volkswagen Auto Lease Trust 2022-A,2023-11-30,28847,28483,243,121,739132578.4318032,653269293.3860986,559479145.8250084,1192789218.0,26617,0,2230,19
Volkswagen Auto Lease Trust 2022-A,2023-12-29,27538,27181,256,101,696495603.2065988,616302236.296099,532566189.69000745,1137065660.0,25547,0,1991,20
Volkswagen Auto Lease Trust 2022-A,2022-12-30,38005,37687,236,82,1140295715.2155051,986807526.41,738196873.0400202,1572993497.0,34500,0,3505,8
Volkswagen Auto Lease Trust 2023-A,2024-01-31,57103,56741,255,107,1886073000.5240877,1564682981.3900023,1188068384.3799868,2505947243.0,55458,0,1645,6
Volkswagen Auto Lease Trust 2023-A,2025-01-31,39809,39399,270,140,1213752571.8537025,1001805490.3729943,854459195.3850044,1806962352.0,38659,0,1150,18
Volkswagen Auto Lease Trust 2023-A,2025-02-28,37666,37294,241,131,1146766490.1021068,943479522.6008997,811572985.2800038,1718099387.0,36598,0,1068,19
Volkswagen Auto Lease Trust 2023-A,2024-02-29,56576,56250,229,97,1847183145.7796962,1534776673.2799907,1178143358.1599874,2484894926.0,54971,0,1605,7
Volkswagen Auto Lease Trust 2023-A,2024-03-29,55900,55617,199,84,1806164945.0176022,1502604180.9700027,1165667293.8149993,2458372061.0,54320,0,1580,8
Volkswagen Auto Lease Trust 2023-A,2025-03-31,35359,35011,248,100,1075080150.565295,881231822.911995,764701261.5450028,1621189086.0,34392,0,967,20
Volkswagen Auto Lease Trust 2023-A,2024-04-30,55000,54676,233,91,1757793488.9153922,1463496606.031405,1148647224.8899903,2422323244.0,53470,0,1530,9
Volkswagen Auto Lease Trust 2023-A,2025-04-30,33211,32901,216,94,1006518712.2181005,821850700.5835924,720126771.6050041,1528360702.0,32380,0,831,21
Volkswagen Auto Lease Trust 2023-A,2025-05-30,31513,31204,226,83,950163153.0737978,773216404.9649042,685009678.6900043,1454327375.0,30766,0,747,22
Volkswagen Auto Lease Trust 2023-A,2024-05-31,54025,53701,251,73,1709605698.8207037,1424246077.4610937,1130504784.6450021,2383919670.0,52554,0,1471,10
Volkswagen Auto Lease Trust 2023-A,2024-06-28,53148,52778,276,94,1667237486.2719917,1390182920.486405,1113941284.354995,2348845422.0,51698,0,1450,11
Volkswagen Auto Lease Trust 2023-A,2025-06-30,29690,29356,216,118,890723037.0177001,722312744.5196,646874712.4000033,1373659261.0,29072,0,618,23
Volkswagen Auto Lease Trust 2023-A,2023-07-31,60086,60086,0,0,2127875165.8920207,1744189004.049988,1244482210.8099737,2626659490.0,58286,0,1800,0
Volkswagen Auto Lease Trust 2023-A,2024-07-31,51605,51194,309,102,1607768647.7262902,1339748753.3199925,1085681490.3400025,2289267079.0,50185,0,1420,12
Volkswagen Auto Lease Trust 2023-A,2025-07-31,27786,27462,207,117,828676632.9662933,669285211.3461982,606609436.7200016,1288333607.0,27289,0,497,24
Volkswagen Auto Lease Trust 2023-A,2025-08-29,25950,25597,221,132,769990814.9126987,619824193.853,567664066.295003,1205611946.0,25565,0,385,25
Volkswagen Auto Lease Trust 2023-A,2024-08-30,49826,49399,311,116,1545585876.8626013,1287166296.5016057,1051989098.070002,2218550931.0,48451,0,1375,13
Volkswagen Auto Lease Trust 2023-A,2023-09-29,59126,58810,269,47,2047652628.214209,1686068984.9900098,1226254358.5049887,2587581514.0,57374,0,1752,2
Volkswagen Auto Lease Trust 2023-A,2024-09-30,47879,47426,297,156,1480032154.726895,1231156271.680293,1014209006.975001,2139757196.0,46568,0,1311,14
Volkswagen Auto Lease Trust 2023-A,2025-09-30,23876,23551,212,113,703904005.5136043,564129475.4059993,523297229.4000042,1111099157.0,23591,0,285,26
Volkswagen Auto Lease Trust 2023-A,2023-10-31,58647,58330,261,56,2006669232.8100111,1655354137.3199942,1217359119.2549815,2568444612.0,56918,0,1729,3
Volkswagen Auto Lease Trust 2023-A,2024-10-31,45809,45364,292,153,1411675107.8114908,1172598274.2234972,974242384.1450026,2056419264.0,44523,0,1286,15
Volkswagen Auto Lease Trust 2023-A,2025-10-31,21665,21355,216,94,634650722.1623999,506522286.0705994,475545785.1300042,1009818870.0,21427,0,238,27
Volkswagen Auto Lease Trust 2023-A,2025-11-28,19774,19489,184,101,576770242.1784971,458979456.73209876,435208216.90000385,923831768.0,19575,0,199,28
Volkswagen Auto Lease Trust 2023-A,2024-11-29,43992,43576,292,124,1350518014.6233966,1120711384.6568952,938448498.3750033,1981502468.0,42747,0,1245,16
