series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
GM Financial Automobile Leasing Trust 2018-1,2018-01-31,56351,55919,407,25,1764064023.9900072,1347204474.0400014,1003036830.8500214,2146870821.3899999,56273,0,78,1
GM Financial Automobile Leasing Trust 2018-1,2019-01-31,51830,51200,440,190,1406380591.28,1099442121.9000049,924174537.1900051,1974978076.1799998,51769,0,61,13
GM Financial Automobile Leasing Trust 2018-1,2020-01-31,25290,24870,290,130,638240741.3899962,509345249.2500009,469044090.7599985,1026887751.7699999,25260,0,30,25
GM Financial Automobile Leasing Trust 2018-1,2018-02-28,56301,55894,340,67,1741379043.7999902,1332667281.3000011,1002302510.500005,2145201501.3899999,56223,0,78,2
GM Financial Automobile Leasing Trust 2018-1,2019-02-28,50940,50393,409,138,1368313386.4599915,1071577825.0600003,909285894.2900132,1943130776.1799998,50880,0,60,14
GM Financial Automobile Leasing Trust 2018-1,2020-02-29,23068,22726,252,90,578777125.1800041,462619603.4699989,429030216.23999864,939956421.9099998,23042,0,26,26
GM Financial Automobile Leasing Trust 2018-1,2018-03-31,55947,55397,459,91,1709228689.3499987,1311323046.9400048,995323050.2000091,2130492371.3899999,55872,0,75,3
GM Financial Automobile Leasing Trust 2018-1,2019-03-31,49939,49383,429,127,1325159626.739993,1040685293.0300021,892485070.789999,1907425086.1799998,49881,0,58,15
GM Financial Automobile Leasing Trust 2018-1,2020-03-31,21250,20877,272,101,528337096.0999999,422819520.46000147,395418670.93999946,867703231.8899999,21224,0,26,27
GM Financial Automobile Leasing Trust 2018-1,2018-04-30,55719,55251,351,117,1682255649.520017,1293215241.8400137,991150712.0500216,2121375081.3899999,55644,0,75,4
GM Financial Automobile Leasing Trust 2018-1,2019-04-30,48851,48385,293,173,1282000092.2800026,1008614900.6699967,873668861.9900111,1868407884.1799998,48795,0,56,16
GM Financial Automobile Leasing Trust 2018-1,2020-04-30,20385,19998,262,125,500046746.8600017,400326411.77999705,378145984.68999773,831922116.8899999,20362,0,23,28
GM Financial Automobile Leasing Trust 2018-1,2018-05-31,55474,54788,560,126,1655196520.5300024,1274852759.1600022,987032333.5000179,2112303671.3899999,55399,0,75,5
GM Financial Automobile Leasing Trust 2018-1,2019-05-31,47296,46747,388,161,1228941461.8099983,968536858.9600053,847004633.5199959,1813452224.1799998,47244,0,52,17
GM Financial Automobile Leasing Trust 2018-1,2020-05-31,18846,18440,279,127,456658505.16999793,365611363.65000093,348285899.67999953,768869794.8899999,18827,0,19,29
GM Financial Automobile Leasing Trust 2018-1,2018-06-30,55224,54690,390,144,1628082982.3099945,1256452522.2799857,982760362.3500212,2102913916.3899999,55149,0,75,6
GM Financial Automobile Leasing Trust 2018-1,2019-06-30,45202,44693,361,148,1166947233.539997,921128572.8100059,811733806.7199965,1742276764.1699998,45153,0,49,18
GM Financial Automobile Leasing Trust 2018-1,2020-06-30,16190,15895,180,115,387292579.7100014,309521319.9699998,296184972.4699984,658759773.8699999,16173,0,17,30
GM Financial Automobile Leasing Trust 2018-1,2018-07-31,54898,54260,490,148,1599356741.7700026,1236673243.0300012,977182090.3500037,2090637236.3899999,54824,0,74,7
GM Financial Automobile Leasing Trust 2018-1,2019-07-31,42031,41442,425,164,1082704042.460004,855604469.5700133,758286422.0800039,1635117039.7699997,41986,0,45,19
GM Financial Automobile Leasing Trust 2018-1,2020-07-31,12233,11992,167,74,289575428.46999943,231127685.20999944,221198419.55999947,497155302.05999994,12217,0,16,31
GM Financial Automobile Leasing Trust 2018-1,2018-08-31,54514,53939,447,128,1568964469.6300125,1215550788.7700002,970642014.400021,2076252766.3899999,54442,0,72,8
GM Financial Automobile Leasing Trust 2018-1,2019-08-31,38874,38283,426,165,998983378.4900016,790230217.0299975,704338953.4199979,1526400579.7699997,38837,0,37,20
GM Financial Automobile Leasing Trust 2018-1,2020-08-31,9463,9254,136,73,221791684.58999833,176968917.88000003,169471854.35999963,384688984.04999995,9450,0,13,32
GM Financial Automobile Leasing Trust 2018-1,2018-09-30,54146,53643,354,149,1539268452.739997,1194777778.5399995,963867686.3000131,2061535926.3899999,54075,0,71,9
GM Financial Automobile Leasing Trust 2018-1,2019-09-30,35858,35338,346,174,920932839.2299997,729641971.6499957,654109008.9700037,1423433554.7699997,35822,0,36,21
GM Financial Automobile Leasing Trust 2018-1,2018-10-31,53675,53062,477,136,1507872455.470009,1172566148.9499986,955948146.3000177,2044132796.3799999,53606,0,69,10
GM Financial Automobile Leasing Trust 2018-1,2019-10-31,32335,31781,389,165,830880728.3000071,659012560.5000013,593587450.990003,1298568356.7699997,32302,0,33,22
GM Financial Automobile Leasing Trust 2018-1,2018-11-30,53168,52648,381,139,1476373818.3799973,1150305424.9900002,947445792.7399966,2025652471.1799998,53100,0,68,11
GM Financial Automobile Leasing Trust 2018-1,2019-11-30,29929,29409,357,163,765215921.4499984,608180596.7899988,551408141.4500009,1207628711.77,29896,0,33,23
GM Financial Automobile Leasing Trust 2018-1,2017-12-31,56373,56224,145,4,1784220615.690007,1359536276.1500018,1003350303.7499942,2147566511.3899994,56295,0,78,0
GM Financial Automobile Leasing Trust 2018-1,2018-12-31,52659,51896,582,181,1444752423.8900042,1127522428.1699908,938363632.6400151,2006031761.1799998,52592,0,67,12
GM Financial Automobile Leasing Trust 2018-1,2019-12-31,27756,27227,379,150,704881012.3200026,561419714.3099997,513377359.9600003,1123905181.77,27725,0,31,24
GM Financial Automobile Leasing Trust 2018-2,2019-01-31,52603,52083,386,134,1496026024.800011,1164431548.3300014,949706502.3600025,2079134278.87,52487,0,116,9
GM Financial Automobile Leasing Trust 2018-2,2020-01-31,30847,30450,290,107,791421359.2100035,625298315.3700005,561564038.270002,1257858316.3500001,30777,0,70,21
GM Financial Automobile Leasing Trust 2018-2,2019-02-28,51692,51463,154,75,1455713160.1499977,1134186102.7099907,933823381.1199996,2045854873.87,51578,0,114,10
GM Financial Automobile Leasing Trust 2018-2,2020-02-29,28655,28445,157,53,728954931.1900012,576547124.7799989,521579267.64000154,1170308226.3400002,28585,0,70,22
GM Financial Automobile Leasing Trust 2018-2,2019-03-31,50434,49919,462,53,1405585115.4399965,1098049664.4200037,912563703.9699997,2001218775.87,50324,0,110,11
