series,rnk,make,model,n,pct_of_pool
GM Financial Automobile Leasing Trust 2019-2,3,GMC,TERRAIN,4449,0.07847391258334216
GM Financial Automobile Leasing Trust 2019-3,1,CHEVROLET,EQUINOX,10827,0.2391280341011993
GM Financial Automobile Leasing Trust 2019-3,2,CHEVROLET,SILVERADO,3790,0.08370695938335138
GM Financial Automobile Leasing Trust 2019-3,3,GMC,TERRAIN,3514,0.07761114914857434
GM Financial Automobile Leasing Trust 2020-1,1,CHEVROLET,EQUINOX,13252,0.23790460118844586
GM Financial Automobile Leasing Trust 2020-1,2,CHEVROLET,SILVERADO,4810,0.08635082491068703
GM Financial Automobile Leasing Trust 2020-1,3,GMC,TERRAIN,4080,0.07324560616124805
GM Financial Automobile Leasing Trust 2020-2,1,CHEVROLET,EQUINOX,13472,0.25332831891688606
GM Financial Automobile Leasing Trust 2020-2,2,CHEVROLET,SILVERADO,4401,0.08275667544189545
GM Financial Automobile Leasing Trust 2020-2,3,GMC,TERRAIN,4329,0.08140278300112824
GM Financial Automobile Leasing Trust 2020-3,1,CHEVROLET,EQUINOX,15312,0.22031020690052086
GM Financial Automobile Leasing Trust 2020-3,2,CHEVROLET,SILVERADO,5894,0.08480331501251763
GM Financial Automobile Leasing Trust 2020-3,3,CHEVROLET,TRAX,5058,0.07277488417599494
GM Financial Automobile Leasing Trust 2021-1,1,CHEVROLET,EQUINOX,12937,0.2040954769905501
GM Financial Automobile Leasing Trust 2021-1,2,CHEVROLET,SILVERADO,5747,0.09066527836938174
GM Financial Automobile Leasing Trust 2021-1,3,CHEVROLET,TRAX,5027,0.07930648240175431
GM Financial Automobile Leasing Trust 2021-2,1,CHEVROLET,EQUINOX,9708,0.19111364844380574
GM Financial Automobile Leasing Trust 2021-2,2,CHEVROLET,SILVERADO,5231,0.10297852235368231
GM Financial Automobile Leasing Trust 2021-2,3,CHEVROLET,TRAX,3833,0.0754572120400811
GM Financial Automobile Leasing Trust 2021-3,1,CHEVROLET,EQUINOX,8623,0.1761989415394675
GM Financial Automobile Leasing Trust 2021-3,2,CHEVROLET,SILVERADO,5093,0.10406832996178916
GM Financial Automobile Leasing Trust 2021-3,3,CHEVROLET,TRAX,3309,0.06761478575369337
GM Financial Automobile Leasing Trust 2022-1,1,CHEVROLET,EQUINOX,8331,0.1485132629777524
GM Financial Automobile Leasing Trust 2022-1,2,CHEVROLET,SILVERADO,6764,0.12057900741585853
GM Financial Automobile Leasing Trust 2022-1,3,CHEVROLET,BLAZER,3795,0.06765188248716486
GM Financial Automobile Leasing Trust 2022-2,1,CHEVROLET,EQUINOX,7469,0.14022867656722302
GM Financial Automobile Leasing Trust 2022-2,2,CHEVROLET,SILVERADO,5763,0.10819893734862851
GM Financial Automobile Leasing Trust 2022-2,3,CHEVROLET,TRAVERSE,3433,0.06445374838067702
GM Financial Automobile Leasing Trust 2022-3,1,CHEVROLET,EQUINOX,8994,0.1684932276738043
GM Financial Automobile Leasing Trust 2022-3,2,CHEVROLET,BLAZER,4489,0.08409674216452163
GM Financial Automobile Leasing Trust 2022-3,3,CHEVROLET,SILVERADO,4190,0.07849528840929954
GM Financial Automobile Leasing Trust 2023-1,1,CHEVROLET,EQUINOX,11275,0.19642857142857142
GM Financial Automobile Leasing Trust 2023-1,2,CHEVROLET,SILVERADO,5195,0.09050522648083624
GM Financial Automobile Leasing Trust 2023-1,3,CHEVROLET,BLAZER,5141,0.08956445993031359
GM Financial Automobile Leasing Trust 2023-2,1,CHEVROLET,EQUINOX,9763,0.2093941018766756
GM Financial Automobile Leasing Trust 2023-2,2,CHEVROLET,SILVERADO,4735,0.10155495978552279
GM Financial Automobile Leasing Trust 2023-2,3,GMC,TERRAIN,3027,0.06492225201072387
GM Financial Automobile Leasing Trust 2023-3,1,CHEVROLET,EQUINOX,7964,0.20663172642831198
GM Financial Automobile Leasing Trust 2023-3,2,CHEVROLET,SILVERADO,4402,0.11421306626537284
GM Financial Automobile Leasing Trust 2023-3,3,CHEVROLET,TRAVERSE,2477,0.06426755228062893
GM Financial Automobile Leasing Trust 2024-1,1,CHEVROLET,EQUINOX,8302,0.14944556451612903
GM Financial Automobile Leasing Trust 2024-1,2,CHEVROLET,SILVERADO,7278,0.13101238479262672
GM Financial Automobile Leasing Trust 2024-1,3,CHEVROLET,BLAZER,4914,0.08845766129032258
GM Financial Automobile Leasing Trust 2024-2,1,CHEVROLET,EQUINOX,9235,0.19459311391124784
GM Financial Automobile Leasing Trust 2024-2,2,CHEVROLET,SILVERADO,5845,0.12316153230224619
GM Financial Automobile Leasing Trust 2024-2,3,CHEVROLET,BLAZER,4107,0.08653967718825066
GM Financial Automobile Leasing Trust 2024-3,1,CHEVROLET,EQUINOX,8349,0.1796991024730419
GM Financial Automobile Leasing Trust 2024-3,2,CHEVROLET,SILVERADO,5710,0.12289877531693248
GM Financial Automobile Leasing Trust 2024-3,3,CHEVROLET,BLAZER,3801,0.08181055078452897
GM Financial Automobile Leasing Trust 2025-1,1,CHEVROLET,EQUINOX,9410,0.15625259452368698
GM Financial Automobile Leasing Trust 2025-1,2,CHEVROLET,SILVERADO,7758,0.12882121448615977
GM Financial Automobile Leasing Trust 2025-1,3,GMC,SIERRA,3844,0.06382943393720007
GM Financial Automobile Leasing Trust 2025-2,1,CHEVROLET,EQUINOX,6531,0.14791746880166692
GM Financial Automobile Leasing Trust 2025-2,2,CHEVROLET,SILVERADO,5806,0.1314972935021403
GM Financial Automobile Leasing Trust 2025-2,3,GMC,SIERRA,2957,0.06697166670441419
GM Financial Automobile Leasing Trust 2025-3,1,CHEVROLET,EQUINOX,5073,0.1533137900812959
GM Financial Automobile Leasing Trust 2025-3,2,CHEVROLET,SILVERADO,4334,0.13098008401583608
GM Financial Automobile Leasing Trust 2025-3,3,GMC,SIERRA,2151,0.06500649762761039
GM Financial Automobile Leasing Trust 2026-1,1,CHEVROLET,SILVERADO,4343,0.13700315457413248
GM Financial Automobile Leasing Trust 2026-1,2,CHEVROLET,EQUINOX,4326,0.13646687697160884
GM Financial Automobile Leasing Trust 2026-1,3,GMC,SIERRA,2772,0.08744479495268138
GM Financial Automobile Leasing Trust 2026-2,1,CHEVROLET,SILVERADO,6101,0.15492635855764347
GM Financial Automobile Leasing Trust 2026-2,2,CHEVROLET,EQUINOX,5415,0.13750634840020315
GM Financial Automobile Leasing Trust 2026-2,3,GMC,SIERRA,3477,0.0882935500253936
GM Financial Automobile Leasing Trust 2026-3,1,CHEVROLET,SILVERADO,4937,0.1548668402396562
GM Financial Automobile Leasing Trust 2026-3,2,CHEVROLET,EQUINOX,4834,0.15163587314533078
GM Financial Automobile Leasing Trust 2026-3,3,GMC,SIERRA,2743,0.08604410426926817
