series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
BMW Vehicle Lease Trust 2017-2,2019-06-30,4,7,172682.0,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-07-31,4,3,79316.0,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-08-31,4,4,108750.75,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-09-30,4,8,210624.15,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-10-31,4,3,80582.1,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-11-30,4,4,106711.45,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-12-31,1,1,21711.8,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-12-31,4,3,62212.25,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2020-01-31,1,1005,26800536.34,0.0,308761.5
BMW Vehicle Lease Trust 2017-2,2020-01-31,2,13870,372257905.76,0.0,2767789.87
BMW Vehicle Lease Trust 2017-2,2020-01-31,3,84,2369589.9800000004,2232823.51,0.0
BMW Vehicle Lease Trust 2017-2,2020-01-31,4,4,103498.0,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2020-01-31,98,6,157309.95,377.88,0.0
BMW Vehicle Lease Trust 2017-2,2020-02-29,1,75,1938570.45,0.0,25568.04
BMW Vehicle Lease Trust 2017-2,2020-02-29,2,1577,41282980.75,0.0,257243.53
BMW Vehicle Lease Trust 2017-2,2020-02-29,3,4,118231.20000000001,100276.55,0.0
BMW Vehicle Lease Trust 2017-2,2020-02-29,4,5,134470.0,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2020-02-29,98,3,66161.4,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2020-03-31,1,34,827615.7999999999,0.0,4351.75
BMW Vehicle Lease Trust 2017-2,2020-03-31,2,1423,37873649.65,0.0,161407.05
BMW Vehicle Lease Trust 2017-2,2020-03-31,3,5,134729.05000000002,91208.37,0.0
BMW Vehicle Lease Trust 2017-2,2020-03-31,4,5,173547.5,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2018-10-31,4,24,570997.8999999999,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2018-11-30,4,5,125042.08,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2018-12-31,4,10,252241.1,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2019-01-31,1,347,9600290.73,0.0,31501.25
BMW Vehicle Lease Trust 2018-1,2019-01-31,2,254,7192204.5600000005,0.0,51937.11
BMW Vehicle Lease Trust 2018-1,2019-01-31,3,12,303827.25,412597.74,0.0
BMW Vehicle Lease Trust 2018-1,2019-01-31,4,4,106076.59999999999,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2019-02-28,4,10,235845.75,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2019-03-31,4,11,304900.1,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2019-04-30,4,5,155580.4,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2019-05-31,4,9,190158.95,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2019-06-30,4,8,161729.1,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2019-07-31,4,12,284998.45,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2019-08-31,4,11,260683.95,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2019-09-30,4,10,222405.55000000002,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2019-10-31,4,10,279223.5,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2019-11-30,4,3,76378.25,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2019-12-31,4,7,170345.95,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2020-01-31,1,1005,27601395.48,0.0,160072.58
BMW Vehicle Lease Trust 2018-1,2020-01-31,2,6722,180423991.74,0.0,1345015.27
BMW Vehicle Lease Trust 2018-1,2020-01-31,3,71,1780844.95,2043034.17,0.0
BMW Vehicle Lease Trust 2018-1,2020-01-31,4,4,147844.25,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2020-02-29,4,6,181281.99999999997,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2020-03-31,4,11,249372.54999999996,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2020-04-30,4,7,192577.25,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2020-05-31,4,8,212887.0,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2020-06-30,4,8,229906.65000000002,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2020-07-31,4,9,219881.94999999998,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2020-08-31,4,7,162456.4,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2020-09-30,4,9,265841.15,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2020-10-31,4,9,258651.55,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2020-11-30,4,13,333118.55,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2020-12-31,4,7,190560.05,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2021-01-31,1,793,20602033.810000002,0.0,222207.97
BMW Vehicle Lease Trust 2018-1,2021-01-31,2,15078,392300464.69,0.0,2199125.1399999997
BMW Vehicle Lease Trust 2018-1,2021-01-31,3,42,1177822.1,1252536.9199999997,0.0
BMW Vehicle Lease Trust 2018-1,2021-01-31,4,9,248177.19999999998,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2021-01-31,98,7,164642.65000000002,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2019-03-31,4,12,287879.05,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2019-04-30,4,6,124625.4,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2019-05-31,4,9,196010.05000000002,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2019-06-30,4,6,127054.2,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2019-07-31,4,14,348635.69999999995,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2019-08-31,4,8,181600.90000000002,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2019-09-30,4,8,219985.25,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2019-10-31,4,11,302596.1,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2019-11-30,4,7,164917.25,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2019-12-31,4,7,192974.50000000003,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-01-31,1,990,26369723.310000002,0.0,152143.64
BMW Vehicle Lease Trust 2019-1,2020-01-31,2,4304,113888676.08999999,0.0,897955.3
BMW Vehicle Lease Trust 2019-1,2020-01-31,3,49,1181018.35,1384801.8299999998,0.0
BMW Vehicle Lease Trust 2019-1,2020-01-31,4,5,128907.85,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-02-29,4,7,171892.4,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-03-31,4,5,118410.54999999999,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-04-30,4,7,216199.15000000002,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-05-31,4,9,219618.4,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-06-30,4,11,279965.5,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-07-31,4,13,394779.69999999995,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-08-31,1,1,27014.4,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-08-31,4,7,190318.94999999998,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-09-30,4,6,157491.8,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-10-31,4,5,135613.85,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-11-30,4,18,413246.7,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2020-12-31,4,9,231897.25,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2021-01-31,1,945,24291292.37,0.0,168535.64
BMW Vehicle Lease Trust 2019-1,2021-01-31,2,13452,350997340.03000003,0.0,2222221.63
BMW Vehicle Lease Trust 2019-1,2021-01-31,3,51,1319034.9800000002,1448609.6400000001,0.0
BMW Vehicle Lease Trust 2019-1,2021-01-31,4,10,274023.7,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2021-01-31,98,4,120565.95,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2021-02-28,1,69,1638283.1400000001,0.0,30630.9
BMW Vehicle Lease Trust 2019-1,2021-02-28,2,1313,34113267.21,0.0,241892.79
BMW Vehicle Lease Trust 2019-1,2021-02-28,3,1,26699.4,28647.45,0.0
BMW Vehicle Lease Trust 2019-1,2021-02-28,4,5,136000.19999999998,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2021-02-28,98,1,43155.25,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2021-03-31,1,98,2274920.9000000004,0.0,7160.23
BMW Vehicle Lease Trust 2019-1,2021-03-31,2,1690,43045668.29,0.0,278751.23
BMW Vehicle Lease Trust 2019-1,2021-03-31,4,5,134224.85,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2021-03-31,98,5,105972.99999999999,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2021-04-30,1,96,2225867.48,0.0,6058.1
BMW Vehicle Lease Trust 2019-1,2021-04-30,2,1441,36623251.78,0.0,143487.61
BMW Vehicle Lease Trust 2019-1,2021-04-30,4,5,130337.0,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2021-04-30,98,1,17520.0,0.0,0.0
BMW Vehicle Lease Trust 2019-1,2021-05-31,1,80,1801883.2000000002,0.0,6855.5
BMW Vehicle Lease Trust 2019-1,2021-05-31,2,1222,31354457.45,0.0,50423.939999999995
BMW Vehicle Lease Trust 2019-1,2021-05-31,4,4,101747.6,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2021-03-31,4,19,507994.24999999994,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2021-04-30,4,1,39005.7,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2021-05-31,4,10,275542.5,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2021-06-30,4,1,23042.8,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2021-07-31,4,8,227646.85,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2021-08-31,4,14,381279.60000000003,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2021-09-30,4,3,85556.35,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2021-10-31,4,2,55035.05,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2021-11-30,4,6,135310.00000000003,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2021-12-31,4,6,194704.9,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-01-31,1,2950,85284962.67999999,0.0,8405.19
BMW Vehicle Lease Trust 2021-1,2022-01-31,2,4281,106636739.63,0.0,263928.17
BMW Vehicle Lease Trust 2021-1,2022-01-31,3,9,249650.9,422596.86,0.0
BMW Vehicle Lease Trust 2021-1,2022-01-31,4,2,39793.8,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-01-31,98,1,31639.5,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-02-28,4,2,61591.600000000006,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-03-31,1,1,20332.55,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-03-31,4,6,154908.35,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-04-30,4,4,104673.65,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-05-31,1,1,29917.8,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-05-31,4,6,147929.45,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-06-30,4,5,120801.05,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-07-31,4,5,172620.2,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-08-31,4,5,135817.75000000003,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-09-30,4,1,19556.55,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-10-31,4,7,182423.75,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-11-30,4,3,95419.04999999999,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2022-12-31,4,6,141436.95,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2023-01-31,1,2599,75151315.13,0.0,4673.75
BMW Vehicle Lease Trust 2021-1,2023-01-31,2,12535,337103240.93,875.42,498130.85
BMW Vehicle Lease Trust 2021-1,2023-01-31,3,17,469550.35,734473.03,0.0
BMW Vehicle Lease Trust 2021-1,2023-01-31,4,3,68517.8,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2023-01-31,98,4,93491.0,4670.27,0.0
BMW Vehicle Lease Trust 2021-1,2023-02-28,1,131,3727124.4499999997,0.0,350.0
BMW Vehicle Lease Trust 2021-1,2023-02-28,2,1076,28711735.900000002,0.0,85932.81
BMW Vehicle Lease Trust 2021-1,2023-02-28,3,3,99431.70000000001,131960.75,0.0
BMW Vehicle Lease Trust 2021-1,2023-02-28,4,5,163812.85,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2023-02-28,98,2,85860.75,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2023-03-31,1,228,6439037.850000001,0.0,738.25
BMW Vehicle Lease Trust 2021-1,2023-03-31,2,1149,30862621.13,0.0,70503.75
BMW Vehicle Lease Trust 2021-1,2023-03-31,3,2,64210.350000000006,99845.69,0.0
BMW Vehicle Lease Trust 2021-1,2023-03-31,4,1,67379.28,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2023-03-31,98,1,29316.0,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2023-04-30,1,164,4792133.850000001,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2023-04-30,2,960,25892822.4,0.0,88209.54
BMW Vehicle Lease Trust 2021-1,2023-04-30,3,1,27937.8,46714.36,0.0
BMW Vehicle Lease Trust 2021-1,2023-04-30,4,4,109692.25000000001,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2023-04-30,98,2,59683.45,823.56,0.0
BMW Vehicle Lease Trust 2021-1,2023-05-31,1,194,5559698.350000001,0.0,742.0
BMW Vehicle Lease Trust 2021-1,2023-05-31,2,1234,32723755.05,0.0,77545.91
BMW Vehicle Lease Trust 2021-1,2023-05-31,3,3,83307.1,109694.26,0.0
BMW Vehicle Lease Trust 2021-1,2023-05-31,4,1,32854.2,0.0,0.0
BMW Vehicle Lease Trust 2021-1,2023-06-30,1,150,4213450.9,0.0,11458.2
