series,term_period,term_ind,n_terminated,sum_proceeds_paired,sum_base_residual_paired,n_paired
Ford Credit Auto Lease Trust 2018-A,2018-11-30,1,263,545.0,25447.0,2
Ford Credit Auto Lease Trust 2018-A,2018-11-30,2,484,8347120.849999999,8126675.5,476
Ford Credit Auto Lease Trust 2018-A,2018-11-30,3,16,245350.94,205739.4,12
Ford Credit Auto Lease Trust 2018-A,2018-11-30,98,4,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2018-12-31,1,235,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2018-12-31,2,1295,8524540.199999996,8903109.2,513
Ford Credit Auto Lease Trust 2018-A,2018-12-31,3,40,84866.73000000001,70780.0,5
Ford Credit Auto Lease Trust 2018-A,2018-12-31,98,4,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2019-12-31,1,407,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2019-12-31,2,2593,22409384.72,23161131.89,1293
Ford Credit Auto Lease Trust 2018-A,2019-12-31,3,39,119697.0,116074.0,9
Ford Credit Auto Lease Trust 2018-A,2019-12-31,98,13,0.0,0.0,0
