series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Ford Credit Auto Lease Trust 2017-B,2018-11-30,41729,41306,355,68,1038128943.0799947,865042468.9999999,735614833.5300008,1591597543.4000158,38511,0,3218,14
Ford Credit Auto Lease Trust 2017-B,2019-11-30,20398,20125,230,43,439571499.78000146,380301576.58000267,360792196.97999936,785924595.4500027,18447,0,1951,26
Ford Credit Auto Lease Trust 2017-B,2017-12-31,52153,51745,363,45,1481403302.1299977,1196510852.37,922782277.0800023,1980382201.0100129,48179,0,3974,3
Ford Credit Auto Lease Trust 2017-B,2018-12-31,40715,40200,419,96,999445975.5899979,835764510.3499947,717574890.6299993,1552862311.8100152,37533,0,3182,15
Ford Credit Auto Lease Trust 2017-B,2019-12-31,18226,17927,252,47,387676494.9499991,336921431.7499986,322719795.12999994,702724224.4900001,16450,0,1776,27
Ford Credit Auto Lease Trust 2018-A,2019-01-31,49213,48777,369,67,1262930898.71,1022815448.160003,849626584.7599992,1882103293.6100159,46470,0,2743,10
Ford Credit Auto Lease Trust 2018-A,2020-01-31,29597,29285,261,51,664164797.2999989,553170439.6900003,505995408.9200005,1146861918.129999,28063,0,1534,22
Ford Credit Auto Lease Trust 2018-A,2019-02-28,47928,47543,332,53,1217659069.8999856,988353234.9100019,827300449.059999,1834612443.5500264,45258,0,2670,11
Ford Credit Auto Lease Trust 2018-A,2020-02-29,27514,27238,228,48,611339363.709997,509037830.79999894,469324828.49000025,1067611663.6500076,26175,0,1339,23
Ford Credit Auto Lease Trust 2018-A,2018-03-31,54756,54756,0,0,1595625161.4500058,1248455479.8400092,943340790.6399986,2084464299.370027,51794,0,2962,0
Ford Credit Auto Lease Trust 2018-A,2019-03-31,46485,46123,320,42,1168999456.470003,951225283.220001,802085383.0600005,1781256407.120009,43886,0,2599,12
Ford Credit Auto Lease Trust 2018-A,2020-03-31,26009,25722,242,45,570465101.2200019,476509124.1299978,443504563.1100002,1011308060.3800068,24813,0,1196,24
Ford Credit Auto Lease Trust 2018-A,2018-04-30,54638,54420,218,0,1570812358.5699956,1233451158.639993,941243976.239998,2079926034.8100266,51683,0,2955,1
Ford Credit Auto Lease Trust 2018-A,2019-04-30,45132,44757,306,69,1122495446.6399937,916585143.4700077,778932218.8099985,1732020702.7900238,42605,0,2527,13
Ford Credit Auto Lease Trust 2018-A,2020-04-30,25456,25180,215,61,550002422.499999,461083253.12999994,434135317.53000027,990804123.9200029,24327,0,1129,25
Ford Credit Auto Lease Trust 2018-A,2018-05-31,54421,54124,280,17,1543180992.2399974,1216303060.030006,937457713.8199992,2071746226.1500192,51479,0,2942,2
Ford Credit Auto Lease Trust 2018-A,2019-05-31,43547,43203,287,57,1072092439.729999,877779813.1199979,751630527.0099981,1674005407.430022,41112,0,2435,14
Ford Credit Auto Lease Trust 2018-A,2020-05-31,24018,23753,185,80,512589405.59000266,430016957.76999736,408939006.9300002,936234874.7900052,23024,0,994,26
Ford Credit Auto Lease Trust 2018-A,2018-06-30,54173,53859,287,27,1516242352.5899944,1198718881.5099945,933299759.3199987,2062657388.6500301,51248,0,2925,3
Ford Credit Auto Lease Trust 2018-A,2019-06-30,42118,41749,309,60,1026588427.9099996,841626370.949998,726654644.0099988,1620753820.680004,39763,0,2355,15
Ford Credit Auto Lease Trust 2018-A,2020-06-30,20933,20664,183,86,442892457.9099959,370497995.9100006,355116295.2800003,817992843.9900035,20218,0,715,27
Ford Credit Auto Lease Trust 2018-A,2018-07-31,53830,53445,344,41,1485659582.8199854,1179419278.0999932,927414512.069999,2049978024.4000297,50921,0,2909,4
Ford Credit Auto Lease Trust 2018-A,2019-07-31,40558,40180,321,57,976694096.4200004,803658482.8699963,699510153.0599988,1562934683.4300206,38308,0,2250,16
Ford Credit Auto Lease Trust 2018-A,2020-07-31,17311,17067,173,71,364532597.68999976,302961999.2100002,292661795.28000003,679192769.6800011,16833,0,478,28
Ford Credit Auto Lease Trust 2018-A,2018-08-31,53343,52965,340,38,1453232344.8800123,1157963695.2300081,919384908.6199989,2032595227.5900295,50449,0,2894,5
Ford Credit Auto Lease Trust 2018-A,2019-08-31,38827,38460,314,53,924813638.0700016,762589460.4700013,669023299.3999989,1498069030.9700186,36685,0,2142,17
