series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
BMW Vehicle Lease Trust 2018-1,2020-02-29,24149,24028,76,45,685312044.4407009,685312044.4407009,624919946.8700086,1415088710.23,24149,0,0,18
BMW Vehicle Lease Trust 2018-1,2019-03-31,32416,32307,89,20,1031432208.4150954,1031432208.4150954,845037095.9100057,1892419483.23,32416,0,0,7
BMW Vehicle Lease Trust 2018-1,2020-03-31,23330,23193,84,53,654033521.4395003,654033521.4395003,602952555.4600064,1366918817.03,23330,0,0,19
BMW Vehicle Lease Trust 2018-1,2019-04-30,31949,31838,81,30,1005023418.2466965,1005023418.2466965,831558688.130007,1864739533.23,31949,0,0,8
BMW Vehicle Lease Trust 2018-1,2020-04-30,23015,22875,81,59,635999342.0773042,635999342.0773042,594496885.8300099,1348598452.03,23015,0,0,20
BMW Vehicle Lease Trust 2018-1,2019-05-31,31451,31332,77,42,978115762.6270028,978115762.6270028,817630685.5800059,1835419798.23,31451,0,0,9
BMW Vehicle Lease Trust 2018-1,2020-05-31,22057,21948,73,36,603143378.6421974,603143378.6421974,569120016.0199995,1293070662.03,22057,0,0,21
BMW Vehicle Lease Trust 2018-1,2019-06-30,30894,30783,74,37,950353839.2208989,950353839.2208989,802034598.7900066,1802087118.23,30894,0,0,10
BMW Vehicle Lease Trust 2018-1,2020-06-30,20493,20348,112,33,554811978.5820004,554811978.5820004,527219481.2800094,1200645332.03,20493,0,0,22
BMW Vehicle Lease Trust 2018-1,2019-07-31,30288,30165,91,32,921736148.9635993,921736148.9635993,785805255.2400028,1767157788.23,30288,0,0,11
BMW Vehicle Lease Trust 2018-1,2020-07-31,18873,18716,107,50,506358010.27329993,506358010.27329993,485001290.4799989,1105856167.03,18873,0,0,23
BMW Vehicle Lease Trust 2018-1,2018-08-31,33670,33670,0,0,1163384489.9985957,1163384489.9985957,880436166.6100076,1967028498.23,33670,0,0,0
BMW Vehicle Lease Trust 2018-1,2019-08-31,29554,29410,100,44,890194223.4056001,890194223.4056001,766231439.3700047,1724659093.23,29554,0,0,12
BMW Vehicle Lease Trust 2018-1,2020-08-31,17436,17279,97,60,464252275.52259755,464252275.52259755,448482226.70000577,1023749187.0,17436,0,0,24
BMW Vehicle Lease Trust 2018-1,2019-09-30,28937,28789,99,49,862435278.7569962,862435278.7569962,750013239.7799996,1689114363.23,28937,0,0,13
BMW Vehicle Lease Trust 2018-1,2020-09-30,15898,15752,92,54,419023919.5053998,419023919.5053998,408299610.03000426,932386369.0,15898,0,0,25
BMW Vehicle Lease Trust 2018-1,2018-10-31,33501,33451,44,6,1130838656.1998994,1130838656.1998994,875744559.8800104,1956683783.23,33501,0,0,2
BMW Vehicle Lease Trust 2018-1,2019-10-31,28137,27986,96,55,829846632.1994025,829846632.1994025,728733449.3600068,1642453582.23,28137,0,0,14
BMW Vehicle Lease Trust 2018-1,2020-10-31,14257,14119,73,65,372592265.8709997,372592265.8709997,366012688.1300042,836052016.0,14257,0,0,26
BMW Vehicle Lease Trust 2018-1,2018-11-30,33385,33322,55,8,1113626339.7558014,1113626339.7558014,872581400.1500078,1949889233.23,33385,0,0,3
BMW Vehicle Lease Trust 2018-1,2019-11-30,27391,27237,95,59,799538703.851902,799538703.851902,709343230.9299963,1600420547.23,27391,0,0,15
BMW Vehicle Lease Trust 2018-1,2020-11-30,12708,12602,51,55,329925123.25470114,329925123.25470114,326691344.240002,746212591.0,12708,0,0,27
BMW Vehicle Lease Trust 2018-1,2018-12-31,33251,33169,71,11,1096079440.639294,1096079440.639294,868855768.1700068,1942065268.23,33251,0,0,4
BMW Vehicle Lease Trust 2018-1,2019-12-31,26270,26115,102,53,760141682.1423068,760141682.1423068,680222474.3700069,1536755312.23,26270,0,0,16
BMW Vehicle Lease Trust 2018-1,2020-12-31,10779,10692,42,45,277941196.8542005,277941196.8542005,276881089.9599987,632993267.0,10779,0,0,28
BMW Vehicle Lease Trust 2019-1,2019-01-31,34977,34977,0,0,1163266628.972895,1163266628.972895,888290644.6500053,2025715839.32,34977,0,0,0
BMW Vehicle Lease Trust 2019-1,2020-01-31,29542,29412,84,46,855717978.8442961,855717978.8442961,744606083.2500159,1709572853.3200002,29542,0,0,12
BMW Vehicle Lease Trust 2019-1,2021-01-31,14982,14901,42,39,378276500.4643974,378276500.4643974,365047377.5699966,854816132.6,14982,0,0,24
BMW Vehicle Lease Trust 2019-1,2021-02-28,13593,13532,33,28,338710320.70789975,338710320.70789975,329089972.3699971,772917212.6,13593,0,0,25
BMW Vehicle Lease Trust 2019-1,2020-02-29,28684,28568,71,45,821388717.4013025,821388717.4013025,721496319.7600181,1658654113.32,28684,0,0,13
BMW Vehicle Lease Trust 2019-1,2019-03-31,34822,34788,32,2,1130055496.290297,1130055496.290297,884215373.0000044,2016465954.3200002,34822,0,0,2
BMW Vehicle Lease Trust 2019-1,2020-03-31,27947,27807,99,41,789999678.1380028,789999678.1380028,701664376.9200153,1614985809.1200001,27947,0,0,14
BMW Vehicle Lease Trust 2019-1,2021-03-31,11795,11731,39,25,290206069.97599953,290206069.97599953,283529185.3299971,668194872.6,11795,0,0,26
BMW Vehicle Lease Trust 2019-1,2019-04-30,34668,34638,24,6,1111133942.2538092,1111133942.2538092,880131459.3500137,2007337074.32,34668,0,0,3
BMW Vehicle Lease Trust 2019-1,2020-04-30,27644,27496,94,54,770329889.5133095,770329889.5133095,693508765.6899933,1597160109.1200001,27644,0,0,15
BMW Vehicle Lease Trust 2019-1,2021-04-30,10252,10201,29,22,248544700.72820082,248544700.72820082,244532209.06999946,578945835.6,10252,0,0,27
BMW Vehicle Lease Trust 2019-1,2019-05-31,34487,34428,50,9,1091432825.436501,1091432825.436501,875229530.0700035,1996324284.3200002,34487,0,0,4
BMW Vehicle Lease Trust 2019-1,2020-05-31,26780,26628,101,51,737593461.2544042,737593461.2544042,670387299.2800027,1546221164.12,26780,0,0,16
BMW Vehicle Lease Trust 2019-1,2021-05-31,8945,8899,26,20,212980492.68990085,212980492.68990085,211248438.01999983,502633350.6,8945,0,0,28
BMW Vehicle Lease Trust 2019-1,2019-06-30,34274,34193,66,15,1071941356.7799989,1071941356.7799989,869720412.6400052,1984328054.3200002,34274,0,0,5
BMW Vehicle Lease Trust 2019-1,2020-06-30,25313,25146,115,52,689624960.3598061,689624960.3598061,631217341.0200049,1459793684.1699998,25313,0,0,17
BMW Vehicle Lease Trust 2019-1,2019-07-31,33904,33823,60,21,1047544608.6661057,1047544608.6661057,859699074.7400223,1962311279.32,33904,0,0,6
BMW Vehicle Lease Trust 2019-1,2020-07-31,23927,23753,110,64,644719954.5508015,644719954.5508015,595191318.7499994,1378976249.17,23927,0,0,18
BMW Vehicle Lease Trust 2019-1,2019-08-31,33357,33257,82,18,1018543001.8093998,1018543001.8093998,844445742.2700114,1928910986.32,33357,0,0,7
BMW Vehicle Lease Trust 2019-1,2020-08-31,22558,22391,92,75,601877671.8941015,601877671.8941015,560261541.5699985,1299658359.17,22558,0,0,19
