series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
GM Financial Automobile Leasing Trust 2017-1,2019-10-31,2,2645,49757032.059999995,16407263.46,22616.25
GM Financial Automobile Leasing Trust 2017-1,2019-10-31,3,15,230401.35,19691.6,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-10-31,98,18,336082.85,87717.03,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-05-31,1,54,1237255.45,2158026.15,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-05-31,2,17,270661.55,298350.45,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-05-31,3,14,251589.55,338095.67,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-05-31,98,24,428493.19999999995,655920.73,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-06-30,1,86,1963181.3499999999,3391797.7099999995,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-06-30,2,42,714967.4,770789.49,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-06-30,3,33,471740.7,688345.64,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-06-30,4,1,10568.0,0.0,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-06-30,98,14,225388.90000000002,350096.58,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-07-31,1,94,2059128.65,3420231.9199999995,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-07-31,2,73,1236059.65,1317605.4799999997,139.42
GM Financial Automobile Leasing Trust 2017-2,2017-07-31,3,29,423719.14999999997,588788.76,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-07-31,98,21,300822.6,435765.34,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-08-31,1,113,2177278.6500000004,3725852.4,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-08-31,2,92,1581890.3500000003,1679378.8499999999,599.48
GM Financial Automobile Leasing Trust 2017-2,2017-08-31,3,52,789420.9999999999,1089664.12,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-08-31,98,32,500112.39999999997,771675.6,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-09-30,1,125,2607588.2399999998,4321215.829999999,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-09-30,2,135,2303157.8,2416936.0700000003,3590.52
GM Financial Automobile Leasing Trust 2017-2,2017-09-30,3,22,257663.6,349560.32,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-09-30,98,38,616986.5,916016.51,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-10-31,1,144,3208244.46,5241800.510000001,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-10-31,2,154,2661299.12,2778914.21,7556.219999999999
GM Financial Automobile Leasing Trust 2017-2,2017-10-31,3,52,804554.75,1008252.9199999999,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-10-31,98,56,929356.0,1450919.46,0.0
GM Financial Automobile Leasing Trust 2017-2,2017-11-30,1,104,2187102.75,3687499.8600000003,0.0
