series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
Nissan Auto Lease Trust 2017-B,2018-03-31,3,43,613274.75,11364.65,0.0
Nissan Auto Lease Trust 2017-B,2018-03-31,98,12,152041.59999999998,120716.14,0.0
Nissan Auto Lease Trust 2017-B,2018-04-30,1,248,3399023.5999999996,3802970.09,0.0
Nissan Auto Lease Trust 2017-B,2018-04-30,2,232,2920902.95,870287.55,12824.46
Nissan Auto Lease Trust 2017-B,2018-04-30,3,32,462126.69999999995,7632.22,0.0
Nissan Auto Lease Trust 2017-B,2018-04-30,98,11,152854.59999999998,123039.67,0.0
Nissan Auto Lease Trust 2017-B,2018-05-31,1,314,4443106.899999999,5691364.319999999,0.0
Nissan Auto Lease Trust 2017-B,2018-05-31,2,267,3418943.3000000003,942520.74,22038.21
Nissan Auto Lease Trust 2017-B,2018-05-31,3,51,736576.7000000001,32751.68,0.0
Nissan Auto Lease Trust 2017-B,2018-05-31,98,14,177944.69999999995,52095.990000000005,0.0
Nissan Auto Lease Trust 2017-B,2018-06-30,1,291,4015377.05,5146413.95,0.0
Nissan Auto Lease Trust 2017-B,2018-06-30,2,340,4476316.5,1053904.21,16635.61
Nissan Auto Lease Trust 2017-B,2018-06-30,3,25,323313.79999999993,3789.37,0.0
Nissan Auto Lease Trust 2017-B,2018-06-30,98,11,158492.15,61805.58,0.0
Nissan Auto Lease Trust 2017-B,2018-07-31,1,316,4478007.2,5296133.289999999,0.0
Nissan Auto Lease Trust 2017-B,2018-07-31,2,418,5396807.66,1188186.65,29145.309999999998
Nissan Auto Lease Trust 2017-B,2018-07-31,3,38,533393.3500000001,125.75,0.0
Nissan Auto Lease Trust 2017-B,2018-07-31,98,11,156348.7,45691.14,0.0
Nissan Auto Lease Trust 2017-B,2018-08-31,1,346,4669380.96,5437006.0200000005,0.0
Nissan Auto Lease Trust 2017-B,2018-08-31,2,538,7126732.9,2594681.43,38225.7
Nissan Auto Lease Trust 2017-B,2018-08-31,3,32,384174.65,41470.899999999994,0.0
Nissan Auto Lease Trust 2017-B,2018-08-31,98,6,73735.4,68118.18,0.0
Nissan Auto Lease Trust 2017-B,2018-09-30,1,303,4392241.65,5137217.41,0.0
Nissan Auto Lease Trust 2017-B,2018-09-30,2,641,8384802.550000001,6716862.6899999995,36353.020000000004
Nissan Auto Lease Trust 2017-B,2018-09-30,3,26,346814.6,316898.42,0.0
Nissan Auto Lease Trust 2017-B,2018-09-30,98,9,117630.9,68562.62,0.0
Nissan Auto Lease Trust 2017-B,2018-10-31,1,386,5193275.45,6111180.26,0.0
Nissan Auto Lease Trust 2017-B,2018-10-31,2,933,12320074.25,14091017.33,72186.3
Nissan Auto Lease Trust 2017-B,2018-10-31,3,61,783684.3500000001,848984.28,0.0
Nissan Auto Lease Trust 2017-B,2018-10-31,98,12,173226.35,62993.07000000001,0.0
Nissan Auto Lease Trust 2017-B,2018-11-30,1,381,5141766.7,5603453.720000001,0.0
Nissan Auto Lease Trust 2017-B,2018-11-30,2,869,11364646.55,12894851.2,46299.3
Nissan Auto Lease Trust 2017-B,2018-11-30,3,44,566888.35,601835.43,0.0
Nissan Auto Lease Trust 2017-B,2018-11-30,98,3,54907.5,12757.0,0.0
Nissan Auto Lease Trust 2017-B,2018-12-31,1,346,4604231.9,4989366.7,0.0
Nissan Auto Lease Trust 2017-B,2018-12-31,2,300,3959870.6500000004,4797863.550000001,9739.369999999999
Nissan Auto Lease Trust 2017-B,2018-12-31,3,9,128248.0,124784.0,0.0
Nissan Auto Lease Trust 2017-B,2018-12-31,98,5,67550.7,15900.0,0.0
Nissan Auto Lease Trust 2017-B,2019-01-31,1,449,5789485.65,6455336.0600000005,0.0
Nissan Auto Lease Trust 2017-B,2019-01-31,2,3170,43390118.11,45118974.980000004,233710.95999999996
Nissan Auto Lease Trust 2017-B,2019-01-31,3,63,886980.25,845940.5199999999,0.0
Nissan Auto Lease Trust 2017-B,2019-01-31,98,29,398722.35000000003,301372.11,0.0
Nissan Auto Lease Trust 2017-B,2019-02-28,1,438,5572130.9,5868548.22,0.0
Nissan Auto Lease Trust 2017-B,2019-02-28,2,2194,29531553.5,31488269.869999997,133844.52
Nissan Auto Lease Trust 2017-B,2019-02-28,3,21,279944.75,277392.89,0.0
