series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Nissan Auto Lease Trust 2017-B,2018-11-30,61445,60828,444,173,1341808986.4999733,1082386039.2900012,903513996.3000017,2011897240.66,61134,0,311,15
Nissan Auto Lease Trust 2017-B,2019-11-30,23394,23040,220,134,484154249.9599996,400140467.9600021,371908276.87999606,822419531.79,23322,0,72,27
Nissan Auto Lease Trust 2017-B,2017-12-31,70465,69579,729,157,1788699566.4800112,1413506475.2400105,1024370845.070003,2282480224.83,70024,0,441,4
Nissan Auto Lease Trust 2017-B,2018-12-31,59586,58774,649,163,1286187113.6899962,1039357339.019999,878226810.8199941,1955095324.66,59302,0,284,16
Nissan Auto Lease Trust 2017-B,2019-12-31,21117,20724,274,119,431661031.1400025,358127110.3300026,336324535.0899969,741975464.9,21050,0,67,28
Nissan Auto Lease Trust 2018-A,2019-01-31,42428,42027,305,96,1067587643.9499933,844232191.3299984,605550381.0999854,1401922818.03,42279,0,149,4
Nissan Auto Lease Trust 2018-A,2020-01-31,33184,32770,302,112,709086282.9899969,573068156.0400015,476362248.49999744,1106227619.0,33083,0,101,16
Nissan Auto Lease Trust 2018-A,2021-01-31,11247,11039,136,72,213400532.62000015,176907706.0199996,166694588.7000029,383647930.0,11215,0,32,28
Nissan Auto Lease Trust 2018-A,2019-02-28,42205,41996,153,56,1046542862.8499988,829181911.5999986,602595133.0499943,1394880889.03,42057,0,148,5
Nissan Auto Lease Trust 2018-A,2021-02-28,9343,9207,97,39,175833495.3600004,146025352.57000008,138986388.09999934,319128580.0,9319,0,24,29
Nissan Auto Lease Trust 2018-A,2020-02-29,31729,31489,178,62,669576102.1799994,541743715.3300034,455022142.0500014,1058884703.0,31638,0,91,17
Nissan Auto Lease Trust 2018-A,2019-03-31,41905,41537,318,50,1024213066.3899838,813020127.0199978,598688259.2499944,1385646934.03,41759,0,146,6
Nissan Auto Lease Trust 2018-A,2020-03-31,30143,29732,347,64,628622956.7299993,509223671.6800015,432051838.7500036,1007487805.0,30062,0,81,18
Nissan Auto Lease Trust 2018-A,2019-04-30,41608,41425,116,67,1001999684.1899924,796877850.3099924,594701304.7499895,1376336009.03,41465,0,143,7
Nissan Auto Lease Trust 2018-A,2020-04-30,29367,29117,129,121,602971772.8600001,489221748.4699939,420651832.8000047,981862465.0,29291,0,76,19
Nissan Auto Lease Trust 2018-A,2019-05-31,41230,40891,276,63,978311802.669999,779480729.2600008,589522973.6499957,1364319869.03,41089,0,141,8
Nissan Auto Lease Trust 2018-A,2020-05-31,28002,27492,368,142,567206165.1999991,460858968.8300049,400691766.25000405,937197490.0,27931,0,71,20
Nissan Auto Lease Trust 2018-A,2019-06-30,40778,40554,141,83,953499148.2499865,761123661.949999,583459286.6500028,1350238419.03,40640,0,138,9
Nissan Auto Lease Trust 2018-A,2020-06-30,25911,25682,102,127,519413227.2499948,422618212.87000304,370690768.90000826,869098745.0,25848,0,63,21
Nissan Auto Lease Trust 2018-A,2019-07-31,40259,39827,337,95,927507283.6499883,741710259.150007,576300665.1999936,1333661824.03,40126,0,133,10
Nissan Auto Lease Trust 2018-A,2020-07-31,23752,23454,211,87,471969694.93000025,384645364.18999875,340467927.3000083,799163940.0,23696,0,56,22
Nissan Auto Lease Trust 2018-A,2019-08-31,39569,39093,364,112,898841583.6799854,720071377.079998,566835244.9499968,1311663594.03,39441,0,128,11
Nissan Auto Lease Trust 2018-A,2020-08-31,21937,21638,221,78,431883583.8099982,352742045.46000326,315705897.50000614,740547080.0,21887,0,50,23
Nissan Auto Lease Trust 2018-A,2018-09-30,43233,43233,0,0,1151614163.2399921,903615410.4000015,616440879.8500004,1427591248.03,43072,0,161,0
Nissan Auto Lease Trust 2018-A,2019-09-30,38706,38447,144,115,867248510.369998,696045120.5000021,554915095.349991,1284118694.03,38583,0,123,12
