series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
World Omni Automobile Lease Securitization Trust 2019-A,2021-01-31,2,3543,56617840.23,66074257.160000004,554839.15
World Omni Automobile Lease Securitization Trust 2019-A,2021-01-31,3,540,8656111.879999999,9477050.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-01-31,98,275,4528552.73,3456858.25,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-02-28,1,506,10725625.08,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-02-28,2,810,12867995.29,16096062.57,112665.44
World Omni Automobile Lease Securitization Trust 2019-A,2021-02-28,3,36,573684.25,682175.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-02-28,98,11,133703.32,168262.98,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-03-31,1,969,19704593.96,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-03-31,2,1078,17512099.389999997,23687476.07,160642.99
World Omni Automobile Lease Securitization Trust 2019-A,2021-03-31,3,44,710584.8600000001,881650.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-03-31,98,16,208178.44,256606.08,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-04-30,1,1535,29721981.669999998,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-04-30,2,679,11166730.059999999,15913749.8,124534.75000000001
World Omni Automobile Lease Securitization Trust 2019-A,2021-04-30,3,44,762403.8700000001,983025.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-04-30,98,8,94589.91,126589.29,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-05-31,1,1917,34766668.62,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-05-31,2,192,3078465.39,4543812.57,36873.03999999999
World Omni Automobile Lease Securitization Trust 2019-A,2021-05-31,3,12,170251.81000000003,228200.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-05-31,98,9,165557.15,166386.35,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-06-30,1,2258,40437575.91,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-06-30,2,115,1967465.4500000002,2808638.4400000004,21321.649999999998
World Omni Automobile Lease Securitization Trust 2019-A,2021-06-30,3,12,183004.58,265900.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-06-30,98,5,68864.18000000001,12489.05,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-07-31,1,2340,41861648.94,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-07-31,2,113,1861549.7500000002,2659007.25,18109.43
World Omni Automobile Lease Securitization Trust 2019-A,2021-07-31,3,12,199607.15999999997,224700.0,0.0
