issuer_code,orig_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CMXS,2023,16,156888.02000000,329893471.92999971,1085810.38000000,0.00329140
CMXS,2023,17,166107.47000000,329893471.92999971,1251917.85000000,0.00379492
CMXS,2023,18,222977.81000000,329893471.92999971,1474895.66000000,0.00447082
CMXS,2023,19,71964.01000000,329893471.92999971,1546859.67000000,0.00468897
CMXS,2023,20,130812.94000000,329893471.92999971,1677672.61000000,0.00508550
CMXS,2023,21,63573.08000000,329893471.92999971,1741245.69000000,0.00527821
CMXS,2023,22,125611.70000000,329893471.92999971,1866857.39000000,0.00565897
CMXS,2023,23,130044.84000000,329893471.92999971,1996902.23000000,0.00605317
CMXS,2023,24,166192.23000000,329893471.92999971,2163094.46000000,0.00655695
CMXS,2023,25,249875.66000000,329893471.92999971,2412970.12000000,0.00731439
CMXS,2023,26,579785.12000000,329893471.92999971,2992755.24000000,0.00907188
CMXS,2023,27,453604.49000000,329893471.92999971,3446359.73000000,0.01044689
CMXS,2023,28,368868.85000000,329893471.92999971,3815228.58000000,0.01156503
CMXS,2023,29,752448.95000000,329893471.92999971,4567677.53000000,0.01384592
CMXS,2023,30,355770.74000000,329893471.92999971,4923448.27000000,0.01492436
CMXS,2023,31,537187.93000000,329893471.92999971,5460636.20000000,0.01655273
CMXS,2023,32,214246.33000000,329893471.92999971,5674882.53000000,0.01720217
CMXS,2023,33,269617.17000000,329893471.92999971,5944499.70000000,0.01801945
CMXS,2023,34,339490.37000000,329893471.92999971,6283990.07000000,0.01904854
CMXS,2023,35,229592.42000000,329893471.92999971,6513582.49000000,0.01974450
CMXS,2023,36,158596.47000000,329893471.92999971,6672178.96000000,0.02022525
CMXS,2023,37,174322.93000000,329893471.92999971,6846501.89000000,0.02075367
CMXS,2024,3,0.00000000,1291902812.93999147,0.00000000,0.00000000
CMXS,2024,4,0.00000000,1291902812.93999147,0.00000000,0.00000000
CMXS,2024,5,0.00000000,1291902812.93999147,0.00000000,0.00000000
CMXS,2024,6,48986.52000000,1291902812.93999147,48986.52000000,0.00003792
CMXS,2024,7,42251.88000000,1291902812.93999147,91238.40000000,0.00007062
CMXS,2024,8,0.00000000,1291902812.93999147,91238.40000000,0.00007062
CMXS,2024,9,444794.85000000,1291902812.93999147,536033.25000000,0.00041492
CMXS,2024,10,787221.44000000,1291902812.93999147,1323254.69000000,0.00102427
CMXS,2024,11,368301.85000000,1291902812.93999147,1691556.54000000,0.00130935
CMXS,2024,12,205794.21000000,1291902812.93999147,1897350.75000000,0.00146865
CMXS,2024,13,651825.22000000,1291902812.93999147,2549175.97000000,0.00197319
CMXS,2024,14,844341.60000000,1291902812.93999147,3393517.57000000,0.00262676
CMXS,2024,15,1022142.39000000,1291902812.93999147,4415659.96000000,0.00341795
CMXS,2024,16,1079161.23000000,1291902812.93999147,5494821.19000000,0.00425328
CMXS,2024,17,877153.22000000,1291902812.93999147,6371974.41000000,0.00493224
CMXS,2024,18,733229.30000000,1291902812.93999147,7105203.71000000,0.00549980
CMXS,2024,19,953832.30000000,1291902812.93999147,8059036.01000000,0.00623811
CMXS,2024,20,860921.07000000,1291902812.93999147,8919957.08000000,0.00690451
CMXS,2024,21,1131284.44000000,1291902812.93999147,10051241.52000000,0.00778018
CMXS,2024,22,1650265.16000000,1291902812.93999147,11701506.68000000,0.00905758
CMXS,2024,23,1541064.28000000,1291902812.93999147,13242570.96000000,0.01025044
CMXS,2024,24,674928.58000000,1291902812.93999147,13917499.54000000,0.01077287
CMXS,2024,25,215503.56000000,1291902812.93999147,14133003.10000000,0.01093968
CMXS,2025,3,0.00000000,1247504806.93999410,0.00000000,0.00000000
CMXS,2025,4,0.00000000,1247504806.93999410,0.00000000,0.00000000
CMXS,2025,5,69311.95000000,1247504806.93999410,69311.95000000,0.00005556
CMXS,2025,6,234155.85000000,1247504806.93999410,303467.80000000,0.00024326
CMXS,2025,7,322086.11000000,1247504806.93999410,625553.91000000,0.00050144
CMXS,2025,8,646379.72000000,1247504806.93999410,1271933.63000000,0.00101958
CMXS,2025,9,699326.54000000,1247504806.93999410,1971260.17000000,0.00158016
CMXS,2025,10,692888.04000000,1247504806.93999410,2664148.21000000,0.00213558
CMXS,2025,11,652501.67000000,1247504806.93999410,3316649.88000000,0.00265863
CMXS,2025,12,486714.53000000,1247504806.93999410,3803364.41000000,0.00304878
CMXS,2025,13,152725.52000000,1247504806.93999410,3956089.93000000,0.00317120
