issuer_code,deal_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
HART,2020,13,110381.52000000,2690883794.27000093,1448685.31000000,0.00053837
HART,2020,14,119929.01000000,2690883794.27000093,1568614.32000000,0.00058294
HART,2020,15,121063.04000000,2690883794.27000093,1689677.36000000,0.00062793
HART,2020,16,95642.61000000,2690883794.27000093,1785319.97000000,0.00066347
HART,2020,17,50269.06000000,2690883794.27000093,1835589.03000000,0.00068215
HART,2021,0,10766.32000000,3587348898.10000467,10766.32000000,0.00000300
HART,2021,1,0.00000000,3587348898.10000467,10766.32000000,0.00000300
HART,2021,2,0.00000000,3587348898.10000467,10766.32000000,0.00000300
HART,2021,3,0.00000000,3587348898.10000467,10766.32000000,0.00000300
HART,2021,4,0.00000000,3587348898.10000467,10766.32000000,0.00000300
HART,2021,5,0.00000000,3587348898.10000467,10766.32000000,0.00000300
HART,2021,6,667695.97000000,3587348898.10000467,678462.29000000,0.00018913
HART,2021,7,406033.11000000,3587348898.10000467,1084495.40000000,0.00030231
HART,2021,8,262473.90000000,3587348898.10000467,1346969.30000000,0.00037548
HART,2021,9,358919.67000000,3587348898.10000467,1705888.97000000,0.00047553
HART,2021,10,340622.38000000,3587348898.10000467,2046511.35000000,0.00057048
HART,2021,11,90474.87000000,3587348898.10000467,2136986.22000000,0.00059570
HART,2021,12,109235.80000000,3587348898.10000467,2246222.02000000,0.00062615
HART,2021,13,141252.16000000,3587348898.10000467,2387474.18000000,0.00066553
HART,2021,14,14907.36000000,3587348898.10000467,2402381.54000000,0.00066968
HART,2021,15,0.00000000,3587348898.10000467,2402381.54000000,0.00066968
HART,2021,16,0.00000000,3587348898.10000467,2402381.54000000,0.00066968
HART,2021,17,0.00000000,3587348898.10000467,2402381.54000000,0.00066968
HART,2021,18,223751.18000000,3587348898.10000467,2626132.72000000,0.00073205
HART,2021,19,106771.05000000,3587348898.10000467,2732903.77000000,0.00076182
HART,2021,20,134207.25000000,3587348898.10000467,2867111.02000000,0.00079923
HART,2022,0,0.00000000,5764486579.37000275,0.00000000,0.00000000
HART,2022,1,0.00000000,5764486579.37000275,0.00000000,0.00000000
HART,2022,2,0.00000000,5764486579.37000275,0.00000000,0.00000000
HART,2022,3,26129.64000000,5764486579.37000275,26129.64000000,0.00000453
HART,2022,4,35061.83000000,5764486579.37000275,61191.47000000,0.00001062
HART,2022,5,21687.28000000,5764486579.37000275,82878.75000000,0.00001438
HART,2022,6,1309533.91000000,5764486579.37000275,1392412.66000000,0.00024155
HART,2022,7,521367.18000000,5764486579.37000275,1913779.84000000,0.00033199
HART,2022,8,383110.64000000,5764486579.37000275,2296890.48000000,0.00039846
HART,2022,9,301564.93000000,5764486579.37000275,2598455.41000000,0.00045077
HART,2022,10,305985.56000000,5764486579.37000275,2904440.97000000,0.00050385
HART,2022,11,124072.71000000,5764486579.37000275,3028513.68000000,0.00052537
HART,2022,12,260138.20000000,5764486579.37000275,3288651.88000000,0.00057050
HART,2022,13,146607.07000000,5764486579.37000275,3435258.95000000,0.00059593
HART,2022,14,119006.16000000,5764486579.37000275,3554265.11000000,0.00061658
HART,2022,15,155919.13000000,5764486579.37000275,3710184.24000000,0.00064363
HART,2022,16,122413.98000000,5764486579.37000275,3832598.22000000,0.00066486
HART,2022,17,0.00000000,5764486579.37000275,3832598.22000000,0.00066486
HART,2022,18,398489.40000000,5764486579.37000275,4231087.62000000,0.00073399
HART,2022,19,342276.60000000,5764486579.37000275,4573364.22000000,0.00079337
HART,2023,0,0.00000000,3532139617.84999704,0.00000000,0.00000000
HART,2023,1,0.00000000,3532139617.84999704,0.00000000,0.00000000
HART,2023,2,27245.52000000,3532139617.84999704,27245.52000000,0.00000771
HART,2023,3,17945.44000000,3532139617.84999704,45190.96000000,0.00001279
HART,2023,4,0.00000000,3532139617.84999704,45190.96000000,0.00001279
HART,2023,5,0.00000000,3532139617.84999704,45190.96000000,0.00001279
HART,2023,6,636851.42000000,3532139617.84999704,682042.38000000,0.00019310
HART,2023,7,567731.10000000,3532139617.84999704,1249773.48000000,0.00035383
