issuer_code,deal_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
AMCAR,2017,23,419879.03000000,1153200413.94000101,30111499.83000000,0.02611125
AMCAR,2017,24,365620.53000000,1153200413.94000101,30477120.36000000,0.02642829
AMCAR,2017,25,553584.08000000,1153200413.94000101,31030704.44000000,0.02690834
AMCAR,2018,0,4036789.46000000,4549393696.81999207,4036789.46000000,0.00088732
AMCAR,2018,1,4093236.69000000,4549393696.81999207,8130026.15000000,0.00178706
AMCAR,2018,2,4210445.31000000,4549393696.81999207,12340471.46000000,0.00271255
AMCAR,2018,3,4960116.22000000,4549393696.81999207,17300587.68000000,0.00380283
AMCAR,2018,4,3329019.44000000,4549393696.81999207,20629607.12000000,0.00453458
AMCAR,2018,5,2992763.06000000,4549393696.81999207,23622370.18000000,0.00519242
AMCAR,2018,6,5869922.39000000,4549393696.81999207,29492292.57000000,0.00648269
AMCAR,2018,7,4308800.72000000,4549393696.81999207,33801093.29000000,0.00742980
AMCAR,2018,8,5522167.10000000,4549393696.81999207,39323260.39000000,0.00864363
AMCAR,2018,9,3639734.84000000,4549393696.81999207,42962995.23000000,0.00944367
AMCAR,2018,10,2499569.00000000,4549393696.81999207,45462564.23000000,0.00999310
AMCAR,2018,11,2496530.47000000,4549393696.81999207,47959094.70000000,0.01054187
AMCAR,2018,12,2559499.34000000,4549393696.81999207,50518594.04000000,0.01110447
AMCAR,2018,13,2531250.00000000,4549393696.81999207,53049844.04000000,0.01166086
AMCAR,2018,14,2889728.11000000,4549393696.81999207,55939572.15000000,0.01229605
AMCAR,2018,15,2622205.47000000,4549393696.81999207,58561777.62000000,0.01287244
AMCAR,2018,16,1894851.26000000,4549393696.81999207,60456628.88000000,0.01328894
AMCAR,2018,17,1348199.56000000,4549393696.81999207,61804828.44000000,0.01358529
AMCAR,2018,18,1573360.48000000,4549393696.81999207,63378188.92000000,0.01393113
AMCAR,2018,19,2000707.93000000,4549393696.81999207,65378896.85000000,0.01437090
AMCAR,2018,20,1035592.70000000,4549393696.81999207,66414489.55000000,0.01459854
AMCAR,2018,21,678667.96000000,4549393696.81999207,67093157.51000000,0.01474771
AMCAR,2018,22,658706.55000000,4549393696.81999207,67751864.06000000,0.01489250
AMCAR,2019,0,4787990.40000000,5144420927.82999611,4787990.40000000,0.00093072
AMCAR,2019,1,4764226.71000000,5144420927.82999611,9552217.11000000,0.00185681
AMCAR,2019,2,4831761.19000000,5144420927.82999611,14383978.30000000,0.00279603
AMCAR,2019,3,4351937.02000000,5144420927.82999611,18735915.32000000,0.00364199
AMCAR,2019,4,4129205.65000000,5144420927.82999611,22865120.97000000,0.00444464
AMCAR,2019,5,2946427.96000000,5144420927.82999611,25811548.93000000,0.00501739
AMCAR,2019,6,5842156.23000000,5144420927.82999611,31653705.16000000,0.00615302
AMCAR,2019,7,5085521.08000000,5144420927.82999611,36739226.23999999,0.00714157
AMCAR,2019,8,5875832.66000000,5144420927.82999611,42615058.90000000,0.00828374
AMCAR,2019,9,3545440.15000000,5144420927.82999611,46160499.05000000,0.00897292
AMCAR,2019,10,3482120.66000000,5144420927.82999611,49642619.71000000,0.00964980
AMCAR,2019,11,4093716.55000000,5144420927.82999611,53736336.26000000,0.01044556
AMCAR,2019,12,3671354.40000000,5144420927.82999611,57407690.66000000,0.01115921
AMCAR,2019,13,3502207.41000000,5144420927.82999611,60909898.07000000,0.01183999
AMCAR,2019,14,3754566.67000000,5144420927.82999611,64664464.73999999,0.01256982
AMCAR,2019,15,3271706.58000000,5144420927.82999611,67936171.31999999,0.01320580
AMCAR,2019,16,1958985.62000000,5144420927.82999611,69895156.94000000,0.01358659
AMCAR,2019,17,1754704.91000000,5144420927.82999611,71649861.84999999,0.01392768
AMCAR,2019,18,2697475.31000000,5144420927.82999611,74347337.16000000,0.01445203
AMCAR,2019,19,2491116.79000000,5144420927.82999611,76838453.95000000,0.01493627
AMCAR,2019,20,2016671.57000000,5144420927.82999611,78855125.52000000,0.01532828
AMCAR,2019,21,1520823.38000000,5144420927.82999611,80375948.89999999,0.01562391
AMCAR,2019,22,1502084.75000000,5144420927.82999611,81878033.64999999,0.01591589
AMCAR,2019,23,829975.55000000,5144420927.82999611,82708009.20000000,0.01607722
AMCAR,2019,24,746855.20000000,5144420927.82999611,83454864.39999999,0.01622240
AMCAR,2019,25,1023820.31000000,5144420927.82999611,84478684.70999999,0.01642142
AMCAR,2020,0,3605684.26000000,3181805837.94999552,3605684.26000000,0.00113322
AMCAR,2020,1,3159724.23000000,3181805837.94999552,6765408.49000000,0.00212628
AMCAR,2020,2,2768317.09000000,3181805837.94999552,9533725.58000000,0.00299633
