issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
HAROT,2019-03-01,0.00135272,9,7596329492.31499958,0.00181435,7.00000000,5148061635.25000000,pass
HAROT,2019-04-01,0.00130099,9,7300926150.92500019,0.00178742,7.00000000,4928505485.37500000,pass
HAROT,2019-05-01,0.00099720,9,7002090708.40999985,0.00120790,8.00000000,5706427922.42500019,pass
HAROT,2019-06-01,0.00095691,10,8306967019.90499973,0.00109238,8.00000000,5457845486.05500031,pass
HAROT,2019-07-01,0.00109647,10,7982307028.75000000,0.00152499,8.00000000,5220247581.39000034,pass
HAROT,2019-08-01,0.00149214,10,7661981754.19499969,0.00171650,9.00000000,6159358950.60000038,pass
HAROT,2019-09-01,0.00144756,11,8666735866.62000084,0.00191463,9.00000000,5883493107.52499962,pass
HAROT,2019-10-01,0.00148846,11,8313673363.55500031,0.00198048,9.00000000,5618602020.72500038,pass
HAROT,2019-11-01,0.00156832,11,7969396542.72500038,0.00178511,10.00000000,6722721680.17500019,pass
HAROT,2019-12-01,0.00152961,12,9230992401.62000084,0.00188380,10.00000000,6429051496.50500011,pass
HAROT,2020-01-01,0.00113620,12,8859459483.41499901,0.00132199,10.00000000,6145245532.36499977,pass
HAROT,2020-02-01,0.00139982,12,8484934220.98499966,0.00168907,11.00000000,6986090501.53499985,pass
HAROT,2020-03-01,0.00121557,13,9714278288.20000076,0.00161887,11.00000000,6669101324.07999992,pass
HAROT,2020-04-01,0.00134844,13,9310570138.85000038,0.00167066,11.00000000,6363105486.42000008,pass
HAROT,2020-05-01,0.00144089,13,8925862623.22999954,0.00173089,12.00000000,7430426177.94499969,pass
HAROT,2020-06-01,0.00200918,14,9877850078.11999893,0.00262200,12.00000000,7102479986.26499939,pass
HAROT,2020-07-01,0.00165208,14,9441886764.06999969,0.00185744,12.00000000,6760134621.76000023,pass
HAROT,2020-08-01,0.00079823,14,8993203417.77000046,0.00085825,13.00000000,7755335072.15499973,pass
HAROT,2020-09-01,0.00004392,14,8552844898.81499958,-0.00009500,13.00000000,7360016954.57999992,pass
HAROT,2020-10-01,0.00018856,15,10195189320.27999878,0.00017799,13.00000000,6925172766.83500004,pass
HAROT,2020-11-01,0.00063305,14,9653166845.02499962,0.00075238,13.00000000,7609790989.76000023,pass
HAROT,2020-12-01,0.00026208,14,9138417667.29000092,0.00024539,13.00000000,7168116399.59000015,pass
HAROT,2021-01-01,0.00057326,13,8644406902.03999901,0.00017487,12.00000000,6745437061.85499954,pass
HAROT,2021-02-01,0.00088200,13,8212543662.99499989,0.00064574,12.00000000,6386265656.39999962,pass
HAROT,2021-03-01,0.00073409,14,9344993304.67499924,0.00088461,13.00000000,7754849345.95499992,pass
HAROT,2021-04-01,0.00072899,13,8809849917.57999992,0.00088144,12.00000000,7286200611.11999989,pass
HAROT,2021-05-01,0.00041973,13,8260072747.49499989,0.00050938,12.00000000,6806362072.21999931,pass
HAROT,2021-06-01,0.00023349,13,9352266500.23500061,0.00021789,11.00000000,6372533089.85999966,pass
