issuer_code,vintage_year,months_seasoned,cnl_ratio,net_losses_cum,original_pool_balance,n_deals,latest_dist
FTAT,2019,6,0.00174026,2494171.84000000,1433221408.21011686,1,2019-11-15
FTAT,2019,7,0.00228362,3272550.38000000,1433053066.60834455,1,2019-12-16
FTAT,2019,8,0.00256369,3672786.86000000,1432616224.51748252,1,2020-01-15
FTAT,2019,9,0.00270617,3880835.64000000,1434068192.63848400,1,2020-02-18
FTAT,2019,10,0.00292278,4189156.19000000,1433275663.88804865,1,2020-03-16
FTAT,2019,11,0.00318865,4568901.48000000,1432864130.48742127,1,2020-04-15
FTAT,2019,12,0.00346861,4969146.03000000,1432605571.17647052,1,2020-05-15
FTAT,2019,13,0.00377259,5407548.36000000,1433377735.59523821,1,2020-06-15
FTAT,2019,14,0.00380343,5454125.86000000,1434002403.25044417,1,2020-07-15
FTAT,2019,15,0.00379401,5438513.76000000,1433446876.64192939,1,2020-08-17
FTAT,2019,16,0.00380565,5458769.05000000,1434385015.94961238,1,2020-09-15
FTAT,2019,17,0.00373002,5350296.36000000,1434386661.13590288,1,2020-10-15
FTAT,2019,18,0.00375290,5378593.37000000,1433181757.96178341,1,2020-11-16
FTAT,2019,19,0.00405586,5808890.30000000,1432219870.55432367,1,2020-12-15
FTAT,2019,20,0.00428349,6144173.12000000,1434385988.29836845,1,2021-01-15
FTAT,2019,21,0.00445759,6388978.08000000,1433281925.33007360,1,2021-02-16
FTAT,2019,22,0.00456387,6539560.77000000,1432898731.58567762,1,2021-03-15
FTAT,2019,23,0.00457067,6550806.75000000,1433225445.70652175,1,2021-04-15
FTAT,2019,24,0.00463187,6637447.94000000,1432996451.92528749,1,2021-05-17
FTAT,2019,25,0.00464411,6662048.20000000,1434517050.09090900,1,2021-06-15
FTAT,2019,26,0.00467983,6698177.14000000,1431286105.70512819,1,2021-07-15
FTAT,2019,27,0.00459892,6581627.59000000,1431123345.62711859,1,2021-08-16
