issuer_code,month,anl_all,n_deals_all,avg_bal_all,anl_seasoned,n_deals_seasoned,avg_bal_seasoned,recon_status
MBART,2022-08-01,0.00102206,4,1672525548.51499987,0.00102206,4.00000000,1672525548.51499987,pass
MBART,2022-09-01,0.00255298,3,1522728795.71000004,0.00255298,3.00000000,1522728795.71000004,pass
MBART,2022-10-01,0.00551061,3,1446475131.02999997,0.00551061,3.00000000,1446475131.02999997,pass
MBART,2022-11-01,0.00749250,3,1375993599.99499989,0.00749250,3.00000000,1375993599.99499989,pass
MBART,2022-12-01,0.00198225,4,3377052968.41499996,0.00393594,3.00000000,1309752513.52500010,pass
MBART,2023-01-01,0.00195544,4,3210094117.32999992,0.00106274,3.00000000,1246296931.14499998,pass
MBART,2023-02-01,0.00597169,5,5125218734.92499924,0.00801494,3.00000000,1184562855.96999979,pass
MBART,2023-03-01,0.00486673,5,4894940612.06999969,0.00485315,3.00000000,1125139871.89999986,pass
MBART,2023-04-01,0.00528451,5,4698791518.92000008,0.00316030,3.00000000,1065693161.59999990,pass
MBART,2023-05-01,0.00639258,5,4506161227.82999992,0.00546508,4.00000000,2701780266.73000002,pass
MBART,2023-06-01,0.00405316,5,4319203339.47500038,0.00380988,4.00000000,2582876125.07499981,pass
MBART,2023-07-01,0.00973599,5,4130437303.28999996,0.00973599,5.00000000,4130437303.28999996,pass
MBART,2023-08-01,0.00817146,5,3953228120.37500000,0.00817146,5.00000000,3953228120.37500000,pass
MBART,2023-09-01,0.00872601,5,3781916745.10500002,0.00872601,5.00000000,3781916745.10500002,pass
MBART,2023-10-01,0.00931199,4,3548178853.15999985,0.00931199,4.00000000,3548178853.15999985,pass
MBART,2023-11-01,0.00898450,5,4776308792.94999981,0.01024045,4.00000000,3401200516.61499977,pass
MBART,2023-12-01,0.01177951,5,4563697115.36499977,0.01522410,4.00000000,3255059305.50999975,pass
MBART,2024-01-01,0.00971741,5,4382792697.74499989,0.01087867,4.00000000,3116648715.29500008,pass
MBART,2024-02-01,0.01256799,6,5612902711.11999989,0.01691047,4.00000000,2977708985.23000002,pass
MBART,2024-03-01,0.01339005,6,5362443026.35000038,0.01586974,4.00000000,2840895031.14000034,pass
MBART,2024-04-01,0.00919222,6,5147606374.97999954,0.00977654,5.00000000,3850186654.73999977,pass
MBART,2024-05-01,0.01442135,6,4930502286.52999973,0.01365941,5.00000000,3678708087.94999981,pass
MBART,2024-06-01,0.01104008,6,4711128059.35000038,0.01007913,5.00000000,3507387442.75500011,pass
MBART,2024-07-01,0.00826927,6,4513294344.79500008,0.00826927,6.00000000,4513294344.79500008,pass
MBART,2024-08-01,0.02077044,5,4270126012.46000004,0.02077044,5.00000000,4270126012.46000004,pass
MBART,2024-09-01,0.01267817,5,4075520424.94000006,0.01267817,5.00000000,4075520424.94000006,pass
MBART,2024-10-01,0.01108040,5,3892359742.59999990,0.01108040,5.00000000,3892359742.59999990,pass
MBART,2024-11-01,0.01139384,5,3715573750.30500031,0.01139384,5.00000000,3715573750.30500031,pass
MBART,2024-12-01,0.01001185,5,3545672546.19999981,0.01001185,5.00000000,3545672546.19999981,pass
MBART,2025-01-01,0.00831903,5,3378172580.78499985,0.00831903,5.00000000,3378172580.78499985,pass
MBART,2025-02-01,0.00708676,6,4560771567.31499958,0.00742801,5.00000000,3208705021.74499989,pass
MBART,2025-03-01,0.01180267,6,4333927952.84000015,0.01437737,5.00000000,3051553441.67000008,pass
MBART,2025-04-01,0.00907643,6,4135303161.76999998,0.01027485,5.00000000,2897570487.24499989,pass
MBART,2025-05-01,0.00717239,6,3934596674.10999966,0.00702688,5.00000000,2742883183.96999979,pass
MBART,2025-06-01,0.00309297,6,3743888241.28499985,0.00262951,5.00000000,2596597372.34999990,pass
MBART,2025-07-01,0.00638795,6,3559784439.31500006,0.00638795,6.00000000,3559784439.31500006,pass
MBART,2025-08-01,0.00461355,6,3378501219.03499985,0.00461355,6.00000000,3378501219.03499985,pass
MBART,2025-09-01,0.00527363,6,3204587533.18499994,0.00527363,6.00000000,3204587533.18499994,pass
MBART,2025-10-01,0.00410825,6,3035721900.34500027,0.00410825,6.00000000,3035721900.34500027,pass
MBART,2025-11-01,0.01600471,6,2868121411.42999983,0.01600471,6.00000000,2868121411.42999983,pass
MBART,2025-12-01,0.00986785,6,2718367695.02500010,0.00986785,6.00000000,2718367695.02500010,pass
MBART,2026-01-01,0.01540074,5,2495884290.52999973,0.01540074,5.00000000,2495884290.52999973,pass
MBART,2026-02-01,0.00646543,5,2352301537.38000011,0.00646543,5.00000000,2352301537.38000011,pass
MBART,2026-03-01,0.00906989,5,2225802606.55500031,0.00906989,5.00000000,2225802606.55500031,pass
MBART,2026-04-01,0.01106058,5,2097997524.98499990,0.01106058,5.00000000,2097997524.98499990,pass
MBART,2026-05-01,0.00062686,5,1971000595.87500000,0.00062686,5.00000000,1971000595.87500000,pass
MBART,2026-06-01,-0.00131799,5,1857064444.49499989,-0.00131799,5.00000000,1857064444.49499989,pass
